id_cliente;nome_cliente;data_nascimento;rg;cpf;endereco;numero;complemento;bairro;cidade;estado;cep;telefone;codigo_produto;nome_produto;quantidade;valor_produto;data_venda;data_compra;forma_pagamento;codigo_loja;nome_loja;codigo_vendedor;nome_vendedor;status_venda;observacoes;data_importacao;data_registro
11;Srta. Brenda Ramos;15/08/1978;7517999;12360587471;Viaduto Cavalcante, 8;10;;Jardinópolis;São Paulo;SP;03596-193;7150672077;P004;Monitor;1;950.0;14/06/2024;14/06/2024;Boleto;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
12;Asafe Casa Grande;22/11/1991;5074193;31268495042;Rua Rafael Almeida, 87;439;;Pompéia;São Paulo;SP;05384-226;03005375693;P005;Teclado;2;150.0;24/12/2024;24/12/2024;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
13;Srta. Agatha Barbosa;21/03/1999;1895865;09758642111;Campo Enzo Gabriel Nogueira, 81;57;;Alto Dos Pinheiros;São Paulo;SP;10375-223;03004671702;P002;Smartphone;2;2500.0;20/11/2023;20/11/2023;Cartao Credito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
14;Maria Helena Gomes;01/06/1992;1129500;06793481584;Travessa de Casa Grande, 936;45;;Baleia;São Paulo;SP;24943-856;5506164205133;P004;Monitor;3;950.0;08/10/2024;08/10/2024;Boleto;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
15;Yasmin Farias;14/12/1964;9481543;62017435880;Estrada Levi Moura, 30;4;;Ouro Preto;São Paulo;SP;31030-151;06109174793;P003;Tablet;2;1800.0;27/08/2025;27/08/2025;Cartao Debito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
16;Mariane Costa;25/08/1979;8746581;37148056217;Morro de Abreu, 82;579;;Bom Jesus;São Paulo;SP;74866-130;8487872544;P002;Smartphone;2;2500.0;21/01/2024;21/01/2024;Pix;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
17;Dra. Hellena Silveira;31/12/1968;9411971;41753682991;Distrito Moraes, 26;81;;Vila Paquetá;São Paulo;SP;18655017;551191706204;P008;Impressora;1;600.0;06/12/2023;06/12/2023;Cartao Debito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
18;Dra. Nina da Cunha;28/06/1987;9829097;51937206840;Quadra Casa Grande, 90;252;;Vila São Dimas;São Paulo;SP;02704-252;5501151949473;P004;Monitor;4;950.0;20/06/2024;20/06/2024;Cartao Debito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
19;Emanuel Fernandes;10/07/2006;5308333;34176258071;Vila Elisa da Paz, 764;35;;Piraja;São Paulo;SP;28797785;557126681702;P006;Caixa de Som;3;200.0;01/08/2025;01/08/2025;Boleto;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
20;Vitor Hugo Cirino;28/02/1960;9797688;71936548291;Estação de Alves, 94;71;;Belvedere;São Paulo;SP;78566-959;5501142826261;P003;Tablet;2;1800.0;24/12/2024;24/12/2024;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
21;Heloisa das Neves;22/03/1986;2276299;37890245114;Estação de Borges, 16;691;;Urca;São Paulo;SP;83692-691;4162790667;P006;Caixa de Som;5;200.0;05/03/2024;05/03/2024;Cartao Credito;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
22;Dr. Joao Vitor Nascimento;17/10/1991;4052774;35147806253;Residencial Vitor Hugo da Cunha, 78;7;;Brasil Industrial;São Paulo;SP;57048962;5508454952419;P003;Tablet;2;1800.0;31/05/2025;31/05/2025;Cartao Debito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
23;Bianca da Rosa;25/03/1955;9093019;05342768144;Sítio Vasconcelos, 661;85;;Beira Linha;São Paulo;SP;97049-145;5508173477748;P006;Caixa de Som;4;200.0;02/06/2025;02/06/2025;Boleto;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
24;Dra. Maysa Siqueira;09/02/1992;5609487;47103892687;Chácara Ana Laura Abreu;17;;Jardim Montanhês;São Paulo;SP;78416860;5503109814206;P005;Teclado;3;150.0;25/06/2025;25/06/2025;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
25;Isabelly Correia;18/07/2004;9711646;80364521970;Campo de das Neves, 404;29;;Primeiro De Maio;São Paulo;SP;71775187;558445213608;P001;Notebook;1;3500.0;23/09/2025;23/09/2025;Cartao Debito;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
26;Maria Liz Guerra;14/05/1997;3455044;09675341866;Lago Dias, 793;18;;Vitoria Da Conquista;São Paulo;SP;82074-949;07197123296;P002;Smartphone;2;2500.0;24/06/2025;24/06/2025;Cartao Debito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
27;Renan Peixoto;14/07/1985;2611396;89047356292;Condomínio Alves, 93;37;;Conjunto Santa Maria;São Paulo;SP;42270698;553132785847;P001;Notebook;3;3500.0;27/09/2024;27/09/2024;Dinheiro;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
28;Melina Pereira;28/12/1969;8799735;63219748546;Fazenda Mendes, 73;79;;Vila Real 2ª Seção;São Paulo;SP;54944-463;5507180553493;P004;Monitor;3;950.0;03/12/2024;03/12/2024;Cartao Debito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
29;Arthur Gabriel Aparecida;04/12/1964;9683578;34065971810;Praia Sophie Rios;16;;Novo São Lucas;São Paulo;SP;24939565;05008466044;P003;Tablet;1;1800.0;26/01/2024;26/01/2024;Cartao Credito;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
30;Stella Ribeiro;20/08/1991;4781500;39516874282;Estação Vitória Duarte;6;;Vila Nossa Senhora Do Rosário;São Paulo;SP;53556805;03103891361;P006;Caixa de Som;5;200.0;04/08/2024;04/08/2024;Dinheiro;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
31;Ana Cecilia Mendonca;26/01/1957;7441290;31456987291;Quadra de da Cruz, 294;76;;Nossa Senhora De Fátima;São Paulo;SP;46924355;555197960505;P008;Impressora;3;600.0;18/05/2025;18/05/2025;Cartao Credito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
32;Dra. Luana Duarte;17/11/1961;4175540;97204861396;Via de Freitas, 79;20;;Caiçaras;São Paulo;SP;06631198;555104302472;P004;Monitor;5;950.0;02/02/2024;02/02/2024;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
33;Srta. Stephany Costela;23/04/1989;8374653;83450196766;Jardim de Andrade, 57;33;;Candelaria;São Paulo;SP;59307117;551164067966;P006;Caixa de Som;2;200.0;12/01/2024;12/01/2024;Boleto;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
34;Pedro Lucas Aragao;24/06/1969;6582194;52913680470;Avenida Teixeira, 55;815;;Betânia;São Paulo;SP;26030-192;553195515384;P005;Teclado;5;150.0;08/10/2024;08/10/2024;Cartao Credito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
35;Luara Moraes;15/08/1993;8534213;86213704922;Lagoa Cardoso, 15;105;;Goiania;São Paulo;SP;16852774;552198730300;P003;Tablet;3;1800.0;23/02/2024;23/02/2024;Cartao Credito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
36;Helena Novais;09/05/2002;6044749;46109823740;Quadra Augusto Marques, 74;3;;Ipiranga;São Paulo;SP;20936-454;8466466475;P003;Tablet;4;1800.0;28/12/2024;28/12/2024;Dinheiro;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
37;Emanuel Freitas;31/05/1961;1760217;28614503717;Setor Carvalho, 330;49;;Braúnas;São Paulo;SP;44718957;551113501098;P001;Notebook;2;3500.0;26/08/2024;26/08/2024;Cartao Credito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
38;Marcos Vinicius Monteiro;06/02/1994;2639943;72840593114;Trevo de Cavalcante, 38;299;;São Damião;São Paulo;SP;19499-485;551151096896;P008;Impressora;5;600.0;18/07/2024;18/07/2024;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
39;Augusto Duarte;12/07/1986;7755236;49372806196;Núcleo Fernandes;21;;Jaraguá;São Paulo;SP;28627-222;3182192899;P008;Impressora;1;600.0;03/01/2024;03/01/2024;Pix;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
40;Maria Flor da Cruz;06/10/1967;3052782;89367521030;Passarela Ana Rodrigues, 40;838;;São Lucas;São Paulo;SP;48863-157;556101992579;P005;Teclado;5;150.0;17/12/2023;17/12/2023;Cartao Credito;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
41;Joao Pedro Vasconcelos;18/04/1980;3044388;56087239456;Quadra Moreira, 6;850;;Guaratã;São Paulo;SP;32895954;555105172801;P005;Teclado;1;150.0;12/04/2025;12/04/2025;Pix;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
42;Luiz Fernando Borges;26/11/1968;6232113;23856170480;Morro Sophie da Mota, 11;6;;Ermelinda;São Paulo;SP;95112-465;08157400635;P001;Notebook;4;3500.0;04/04/2025;04/04/2025;Cartao Credito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
43;Stella da Rosa;17/08/2005;9275644;85932401605;Travessa da Cunha, 4;39;;Belvedere;São Paulo;SP;93119578;1129385034;P003;Tablet;4;1800.0;30/10/2023;30/10/2023;Cartao Credito;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
44;Dr. Henry Mendonca;25/11/1978;8795944;68405219315;Campo de da Conceição, 6;6;;Vila Engenho Nogueira;São Paulo;SP;47361-293;5508182944573;P002;Smartphone;5;2500.0;31/07/2025;31/07/2025;Cartao Debito;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
45;Dr. Vitor Gabriel Goncalves;09/01/1974;2365016;58619204785;Rodovia de Sales, 49;85;;Vila Nova Gameleira 2ª Seção;São Paulo;SP;66162787;8475893513;P002;Smartphone;4;2500.0;09/10/2024;09/10/2024;Pix;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
46;Matheus Barros;31/05/1996;6367371;34182569709;Trevo Vargas, 22;821;;Vila Bandeirantes;São Paulo;SP;95426024;558412821094;P005;Teclado;3;150.0;08/07/2024;08/07/2024;Cartao Credito;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
47;Lucas Abreu;05/10/1961;5806559;84216597319;Área Mendes, 73;83;;Vila Formosa;São Paulo;SP;20413-127;554162375278;P005;Teclado;3;150.0;30/05/2024;30/05/2024;Boleto;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
48;Ravi Araujo;16/05/2001;5632535;74831056235;Esplanada Barros, 825;3;;Copacabana;São Paulo;SP;75822-697;554140229729;P007;Mouse;2;80.0;06/05/2025;06/05/2025;Dinheiro;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
49;Davi Pires;05/10/1996;8161765;63124790561;Distrito de Nunes, 557;64;;Bom Jesus;São Paulo;SP;98853638;5503166749438;P005;Teclado;3;150.0;24/07/2024;24/07/2024;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
50;Joao Gabriel Andrade;01/06/1977;5942139;58293047674;Rua de Costa, 12;83;;Jardim Leblon;São Paulo;SP;98170-339;558426896290;P001;Notebook;2;3500.0;16/09/2024;16/09/2024;Cartao Credito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
51;Yasmin Dias;02/07/1965;1751752;60713258462;Vereda Jade Cavalcanti, 8;286;;Coqueiros;São Paulo;SP;00205-173;06108685881;P006;Caixa de Som;1;200.0;19/10/2025;19/10/2025;Dinheiro;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
52;Melissa Aragao;09/08/1966;6975043;21630894796;Trevo Maria Cecília Santos, 410;38;;Jardim Montanhês;São Paulo;SP;82513-815;5507112231703;P007;Mouse;5;80.0;07/01/2024;07/01/2024;Pix;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
53;Dra. Cecilia Santos;13/07/1975;7426747;40593187288;Passarela Novaes, 778;9;;Vila Calafate;São Paulo;SP;06275-169;08009180665;P002;Smartphone;1;2500.0;11/12/2024;11/12/2024;Cartao Credito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
54;Esther Castro;26/03/1963;4645778;03697845292;Condomínio Sá, 1;66;;Marmiteiros;São Paulo;SP;45280794;8402037566;P008;Impressora;1;600.0;31/12/2024;31/12/2024;Boleto;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
55;Sophia da Cunha;15/08/1982;9817995;36975081484;Campo de Machado, 82;52;;Conjunto Minas Caixa;São Paulo;SP;35875655;06199749306;P006;Caixa de Som;2;200.0;13/02/2024;13/02/2024;Cartao Credito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
56;Jose Miguel Duarte;29/09/1960;9692645;98650324738;Esplanada Carolina da Mota, 12;64;;Vila Ouro Minas;São Paulo;SP;86021-436;06196212182;P006;Caixa de Som;2;200.0;22/06/2024;22/06/2024;Boleto;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
57;Allana Machado;04/02/1978;9758967;17308524671;Pátio Sampaio, 56;763;;Vila Coqueiral;São Paulo;SP;43386-756;5503119075813;P003;Tablet;1;1800.0;22/08/2024;22/08/2024;Pix;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
58;Pietra Porto;12/11/2004;8898770;89302547132;Avenida de Almeida, 90;515;;Vila Aeroporto Jaraguá;São Paulo;SP;81749790;5504181854241;P007;Mouse;1;80.0;12/02/2024;12/02/2024;Boleto;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
59;Bianca Costa;24/08/1955;9551453;43102785662;Área Joana Aparecida, 27;36;;Etelvina Carneiro;São Paulo;SP;59557944;08490637153;P004;Monitor;1;950.0;09/03/2025;09/03/2025;Boleto;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
60;Eduardo Lopes;15/07/1989;1513050;36579482010;Conjunto de Rodrigues;67;;Minas Caixa;São Paulo;SP;44092-770;5508169716534;P005;Teclado;2;150.0;31/03/2025;31/03/2025;Cartao Debito;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
61;Juliana Macedo;26/11/1955;1025669;40176895310;Aeroporto Henrique Pinto;78;;Confisco;São Paulo;SP;41839051;556147961626;P003;Tablet;5;1800.0;24/08/2025;24/08/2025;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
62;Fernando Gomes;12/07/1985;3526027;10957683286;Quadra de Caldeira, 4;433;;Santa Tereza;São Paulo;SP;38192-625;5507119144857;P001;Notebook;3;3500.0;26/01/2024;26/01/2024;Cartao Debito;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
63;Antony Mendes;07/12/1958;5248966;54739168219;Vereda Nicolas Sousa, 9;60;;Conjunto Minas Caixa;São Paulo;SP;44350-419;5501194670171;P002;Smartphone;1;2500.0;28/09/2024;28/09/2024;Boleto;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
64;Isabel Costa;02/12/1975;8595489;76841053290;Favela Casa Grande;178;;São João;São Paulo;SP;26296489;1190117329;P003;Tablet;1;1800.0;30/11/2023;30/11/2023;Pix;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
65;Heloisa Vargas;01/10/1981;1428283;73294106831;Sítio Monteiro, 97;24;;Mangabeiras;São Paulo;SP;38296538;03180224350;P001;Notebook;3;3500.0;31/03/2025;31/03/2025;Dinheiro;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
66;Heloisa Costela;21/02/2007;2568847;86307591277;Vereda Davi Luiz Campos, 3;13;;Vila Piratininga Venda Nova;São Paulo;SP;90765618;558468337516;P002;Smartphone;4;2500.0;12/05/2024;12/05/2024;Boleto;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
67;Jose da Rosa;05/01/1965;8756896;49375208141;Vale Maria Laura da Luz, 6;87;;Solar Do Barreiro;São Paulo;SP;49290-214;5508475469107;P008;Impressora;5;600.0;17/06/2025;17/06/2025;Dinheiro;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
68;Agatha Duarte;19/02/1973;4195092;04938162598;Lagoa Freitas;21;;Vila Sesc;São Paulo;SP;30581-760;02112109003;P003;Tablet;4;1800.0;22/06/2024;22/06/2024;Boleto;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
69;Juliana Santos;27/02/1998;9340548;07165489339;Chácara Monteiro, 137;849;;Vila Antena Montanhês;São Paulo;SP;38854957;08009031599;P002;Smartphone;4;2500.0;10/07/2024;10/07/2024;Dinheiro;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
70;Maria Sophia Monteiro;23/12/1998;6242793;76034891566;Esplanada Pietro Castro, 820;48;;Tiradentes;São Paulo;SP;68902-301;01131154017;P002;Smartphone;5;2500.0;19/08/2025;19/08/2025;Cartao Debito;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
71;Lucas Gabriel Moura;05/10/1998;5933013;38417960520;Favela de Castro, 86;7;;Jardim Montanhês;São Paulo;SP;10697918;555188995797;P004;Monitor;3;950.0;02/09/2024;02/09/2024;Boleto;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
72;Olivia Machado;29/05/1957;8543829;02567831444;Colônia de Ferreira, 31;24;;Santa Isabel;São Paulo;SP;67784002;5507138978680;P007;Mouse;4;80.0;26/05/2025;26/05/2025;Pix;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
73;Sra. Camila Andrade;19/04/2001;5677718;53462109898;Colônia Casa Grande, 82;45;;Cinquentenário;São Paulo;SP;32396540;8115635281;P002;Smartphone;1;2500.0;11/03/2024;11/03/2024;Cartao Credito;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
74;Pedro Lucas da Cunha;24/10/2002;6191167;38019625712;Vereda Otávio Pires, 25;133;;Jardim Alvorada;São Paulo;SP;01686-530;05002954195;P005;Teclado;3;150.0;13/03/2024;13/03/2024;Cartao Credito;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
75;Dr. Thales Macedo;12/03/1971;1724340;94713286087;Sítio Guerra, 358;76;;Cardoso;São Paulo;SP;59424-495;06160183620;P001;Notebook;2;3500.0;14/09/2024;14/09/2024;Pix;L002;Loja Shopping;V004;Antonio Santos;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
76;Jose Miguel Cirino;23/11/1973;9110834;06173952416;Colônia Emilly Casa Grande;11;;Pompéia;São Paulo;SP;43387-654;551112209617;P002;Smartphone;2;2500.0;06/10/2024;06/10/2024;Pix;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
77;Daniel Freitas;01/10/1983;8390282;65193824005;Estrada de Caldeira, 2;8;;Vila Jardim Leblon;São Paulo;SP;05984-045;4131392763;P005;Teclado;5;150.0;23/03/2024;23/03/2024;Cartao Debito;L001;Loja Centro;V001;Carlos Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
78;Elisa Fernandes;23/11/1993;4715082;85792036195;Ladeira de Cavalcante, 811;1;;Vila Independencia 3ª Seção;São Paulo;SP;26685574;5507100999289;P002;Smartphone;1;2500.0;29/12/2024;29/12/2024;Boleto;L003;Loja Bairro;V005;Barone Mendes;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
79;Sarah Goncalves;31/03/1956;2090973;86097425392;Área Letícia Macedo, 39;847;;Vila Antena Montanhês;São Paulo;SP;27831-770;5508479679389;P007;Mouse;4;80.0;24/01/2024;24/01/2024;Boleto;L003;Loja Bairro;V006;Thiago Silva;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
80;Rhavi Fogaca;15/03/1967;6634554;25498137664;Residencial de Dias, 20;3;;Silveira;São Paulo;SP;99873-768;05157401319;P002;Smartphone;3;2500.0;05/12/2024;05/12/2024;Dinheiro;L002;Loja Shopping;V003;João Souza;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
81;Ryan Andrade;16/01/1992;6570371;15493670801;Parque Anthony da Paz, 62;850;;Belvedere;São Paulo;SP;95850-292;554179939512;P005;Teclado;2;150.0;11/10/2024;11/10/2024;Cartao Credito;L001;Loja Centro;V002;Maria Oliveira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
82;Maria Julia Castro;04/08/1998;6988613;82370469510;Núcleo de Leão;649;;Coração De Jesus;São Paulo;SP;02087339;551178198377;P002;Smartphone;5;2500.0;07/10/2025;07/10/2025;Pix;L002;Loja Shopping;V007;Mackenzie Nogueira;CONCLUIDA;;2025-10-29 14:32:21;2025-10-29 14:32:21
