id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_venda,data_compra,status_venda,observacoes
48,Zoe Melo,26/02/1957,6678075,46758092356,"Trevo Agatha Pinto, 75",11,nan,Maravilha,Sao Paulo,SP,45238206,558114320085,P002,Smartphone,1,2500.0,Cartao Debito,L002,Loja Shopping,V004,Antonio Santos,15/09/2024,15/09/2024,CONCLUIDA,
49,Davi Lucas Montenegro,23/04/1975,2667085,34068275190,"Largo de Viana, 9",7,nan,Candelaria,Sao Paulo,SP,06240894,1106298126,P002,Smartphone,3,2500.0,Pix,L003,Loja Bairro,V005,Barone Mendes,27/04/2025,27/04/2025,CONCLUIDA,
50,Jose Miguel Montenegro,04/01/2001,1778917,82705413626,"Jardim Santos, 1",31,nan,Vila Santa Monica 2a Secao,Sao Paulo,SP,57322541,2128461800,P001,Notebook,3,3500.0,Cartao Credito,L003,Loja Bairro,V006,Thiago Costa,09/12/2023,09/12/2023,CONCLUIDA,
51,Jose Miguel Castro,28/03/1975,4297215,73950428674,"Travessa Rebeca Camargo, 737",80,nan,Leticia,Sao Paulo,SP,22598483,6188962901,P003,Tablet,2,1800.0,Pix,L002,Loja Shopping,V003,Joao Souza,24/02/2025,24/02/2025,CONCLUIDA,
52,Antony Macedo,27/03/1998,5724805,68402953700,"Vila Alice Cassiano, 4",11,nan,Santa Lucia,Sao Paulo,SP,96363416,6166119583,P002,Smartphone,2,2500.0,Cartao Credito,L001,Loja Centro,V002,Maria Oliveira,05/11/2023,05/11/2023,CONCLUIDA,
53,Joana Brito,15/12/1989,2558402,82046379500,"Patio Novaes, 964",22,nan,Bandeirantes,Sao Paulo,SP,45862400,1113717907,P004,Monitor,5,950.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,15/02/2024,15/02/2024,CONCLUIDA,
54,Asafe Cavalcanti,19/10/1967,9753787,43951267828,Quadra de Guerra,1,nan,Caicaras,Sao Paulo,SP,29457818,4185985898,P008,Impressora,3,600.0,Pix,L001,Loja Centro,V001,Carlos Silva,05/12/2024,05/12/2024,CONCLUIDA,
55,Felipe da Mota,05/03/1964,4288647,69023748131,"Praia Pinto, 438",1,nan,Copacabana,Sao Paulo,SP,04867305,1158434422,P004,Monitor,1,950.0,Pix,L002,Loja Shopping,V003,Joao Souza,12/03/2025,12/03/2025,CONCLUIDA,
56,Clarice Farias,08/06/1979,4254935,3142679561,"Alameda de Lopes, 4",967,nan,Vila Copacabana,Sao Paulo,SP,07826482,552118096870,P008,Impressora,5,600.0,Dinheiro,L003,Loja Bairro,V006,Thiago Costa,12/02/2025,12/02/2025,CONCLUIDA,
57,Murilo Melo,02/06/2000,9899740,75620198359,"Setor Pinto, 50",61,nan,Independencia,Sao Paulo,SP,50507946,5501146634397,P002,Smartphone,5,2500.0,Boleto,L002,Loja Shopping,V007,Mackenzie Nogueira,21/06/2024,21/06/2024,CONCLUIDA,
58,Maria Liz das Neves,14/10/1964,1389684,71634289528,"Largo Enrico Farias, 3",5,nan,Sion,Sao Paulo,SP,30369764,5508188067617,P004,Monitor,2,950.0,Pix,L001,Loja Centro,V001,Carlos Silva,29/10/2023,29/10/2023,CONCLUIDA,
59,Lucas Pires,03/10/1971,9309633,13826740580,"Colonia Sophia Leao, 1",4,nan,Sport Club,Sao Paulo,SP,14341142,5508440986525,P001,Notebook,2,3500.0,Cartao Debito,L001,Loja Centro,V002,Maria Oliveira,15/10/2025,15/10/2025,CONCLUIDA,
60,Maria Luisa Silva,14/07/2005,7725353,45230918624,"Setor de Moura, 5",8,nan,Boa Uniao 2a Secao,Sao Paulo,SP,64115181,1107279432,P008,Impressora,4,600.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,09/03/2024,09/03/2024,CONCLUIDA,
61,Leandro Pimenta,12/02/1959,4411732,91305647270,"Alameda Dias, 45",247,nan,Vila Sao Rafael,Sao Paulo,SP,13229972,5007498855,P001,Notebook,4,3500.0,Cartao Credito,L001,Loja Centro,V001,Carlos Silva,02/07/2025,02/07/2025,CONCLUIDA,
62,Matheus Farias,08/11/1967,7204810,80645291315,"Rua Pastor, 17",94,nan,Sao Vicente,Sao Paulo,SP,85916389,554128989811,P006,Caixa de Som,3,200.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,14/11/2023,14/11/2023,CONCLUIDA,
63,Apollo da Luz,19/11/2002,4671016,95873201404,"Lagoa da Rocha, 6",15,nan,Pilar,Sao Paulo,SP,54116882,1185503577,P003,Tablet,5,1800.0,Cartao Credito,L003,Loja Bairro,V006,Thiago Costa,25/11/2024,25/11/2024,CONCLUIDA,
64,Caleb Pires,18/09/1973,5204632,71358620407,"Colonia de Duarte, 27",62,nan,Jardim Felicidade,Sao Paulo,SP,45207553,4132354911,P006,Caixa de Som,2,200.0,Boleto,L002,Loja Shopping,V007,Mackenzie Nogueira,31/10/2024,31/10/2024,CONCLUIDA,
65,Juan Barbosa,22/09/1979,2568480,79125036416,"Aeroporto de Melo, 69",21,nan,Vila Batik,Sao Paulo,SP,27024479,551169788214,P001,Notebook,2,3500.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,07/09/2025,07/09/2025,CONCLUIDA,
66,Diego Cavalcante,01/12/1974,7066359,13467259006,"Praia de Monteiro, 96",91,nan,Grota,Sao Paulo,SP,88395554,555102099407,P008,Impressora,3,600.0,Dinheiro,L001,Loja Centro,V002,Maria Oliveira,30/05/2025,30/05/2025,CONCLUIDA,
67,Kevin Machado,01/02/1979,7736735,96213547819,"Patio Lopes, 2",533,nan,Camponesa 2a Secao,Sao Paulo,SP,51743287,554142742528,P001,Notebook,4,3500.0,Boleto,L003,Loja Bairro,V005,Barone Mendes,08/02/2025,08/02/2025,CONCLUIDA,
68,Isabelly Novais,15/01/1981,1941723,5876142930,"Praia de Costela, 647",2,nan,Vila Sao Geraldo,Sao Paulo,SP,52453915,558115013693,P004,Monitor,1,950.0,Cartao Credito,L003,Loja Bairro,V005,Barone Mendes,17/08/2025,17/08/2025,CONCLUIDA,
69,Joana Mendonca,08/02/1968,2909499,32056781921,"Chacara de Cassiano, 96",96,nan,Santa Amelia,Sao Paulo,SP,43084799,558456252343,P003,Tablet,3,1800.0,Dinheiro,L002,Loja Shopping,V003,Joao Souza,23/09/2024,23/09/2024,CONCLUIDA,
70,Isadora Caldeira,25/05/1993,2650942,4673821580,"Praca Aragao, 9",97,nan,Bacurau,Sao Paulo,SP,90967376,5508169176124,P003,Tablet,1,1800.0,Boleto,L002,Loja Shopping,V007,Mackenzie Nogueira,26/04/2025,26/04/2025,CONCLUIDA,
71,Nicolas Camara,17/11/1995,2723083,59871463219,"Nucleo de Vargas, 810",31,nan,Alpes,Sao Paulo,SP,52561152,5508122558170,P002,Smartphone,5,2500.0,Cartao Debito,L001,Loja Centro,V001,Carlos Silva,17/12/2023,17/12/2023,CONCLUIDA,
72,Nathan das Neves,13/10/1973,4882901,23680497113,Nucleo Caldeira,13,nan,Santa Tereza,Sao Paulo,SP,90729117,5508138303458,P007,Mouse,2,80.0,Cartao Credito,L002,Loja Shopping,V004,Antonio Santos,30/01/2025,30/01/2025,CONCLUIDA,
73,Ana Clara Novaes,22/07/1982,7938379,34286519015,"Rodovia Calebe Borges, 14",6,nan,Barao Homem De Melo 3a Secao,Sao Paulo,SP,97008476,1133357187,P003,Tablet,1,1800.0,Cartao Debito,L002,Loja Shopping,V007,Mackenzie Nogueira,13/04/2024,13/04/2024,CONCLUIDA,
74,Anthony Gabriel Mendes,11/10/1976,9753827,35704619207,"Sitio da Cruz, 18",9,nan,Santa Ines,Sao Paulo,SP,55725362,9002210709,P001,Notebook,3,3500.0,Boleto,L001,Loja Centro,V001,Carlos Silva,16/04/2025,16/04/2025,CONCLUIDA,
75,Leonardo Moreira,19/05/2002,7305178,34961578010,"Lagoa Barbara Montenegro, 64",4,nan,Vila Independencia 2a Secao,Sao Paulo,SP,39956007,1183337516,P007,Mouse,4,80.0,Boleto,L003,Loja Bairro,V005,Barone Mendes,25/08/2024,25/08/2024,CONCLUIDA,
76,Maria Alice Sales,14/08/1957,6556888,83056921759,"Feira Camara, 12",980,nan,Concordia,Sao Paulo,SP,45357380,553110961555,P006,Caixa de Som,3,200.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,15/03/2024,15/03/2024,CONCLUIDA,
77,Agatha Cirino,16/12/1999,8951391,78169234573,"Alameda de Cavalcanti, 69",87,nan,Aarao Reis,Sao Paulo,SP,10978322,8465923141,P002,Smartphone,5,2500.0,Dinheiro,L003,Loja Bairro,V005,Barone Mendes,22/07/2024,22/07/2024,CONCLUIDA,
78,Brayan da Conceicao,20/05/1971,1369127,39850216786,"Estacao de Guerra, 6",62,nan,Caetano Furquim,Sao Paulo,SP,40282844,8425402369,P008,Impressora,2,600.0,Cartao Debito,L001,Loja Centro,V001,Carlos Silva,25/03/2025,25/03/2025,CONCLUIDA,
79,Stephany Brito,09/03/1978,3009145,17952340832,Conjunto Leo Aparecida,32,nan,Vila Bandeirantes,Sao Paulo,SP,36083413,5148221233,P003,Tablet,1,1800.0,Dinheiro,L003,Loja Bairro,V005,Barone Mendes,29/09/2024,29/09/2024,CONCLUIDA,
80,Maria Sophia Carvalho,21/05/1969,7911533,53182076426,"Avenida da Cunha, 8",35,nan,Coqueiros,Sao Paulo,SP,89035278,8004485193,P002,Smartphone,3,2500.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,06/04/2024,06/04/2024,CONCLUIDA,
81,Ana Livia Nogueira,13/08/2007,8302927,70431926840,Distrito de Nunes,82,nan,Conjunto Sao Francisco De Assis,Sao Paulo,SP,98499365,557123990182,P008,Impressora,1,600.0,Cartao Debito,L002,Loja Shopping,V004,Antonio Santos,28/11/2023,28/11/2023,CONCLUIDA,
82,Jade Lima,11/03/1978,2730743,42938761546,"Estacao Antonio das Neves, 574",17,nan,Suzana,Sao Paulo,SP,23121148,7172161076,P004,Monitor,4,950.0,Pix,L001,Loja Centro,V002,Maria Oliveira,18/09/2024,18/09/2024,CONCLUIDA,
83,Ravi Camara,26/09/1998,1501812,4597168249,"Campo de Siqueira, 35",76,nan,Granja Werneck,Sao Paulo,SP,33779367,5504187787794,P002,Smartphone,3,2500.0,Cartao Debito,L002,Loja Shopping,V007,Mackenzie Nogueira,09/07/2024,09/07/2024,CONCLUIDA,
84,Evelyn Porto,16/12/2006,9118250,57082346956,"Conjunto da Conceicao, 77",85,nan,Vila Nova Cachoeirinha 3a Secao,Sao Paulo,SP,01739340,558490643995,P003,Tablet,1,1800.0,Dinheiro,L001,Loja Centro,V001,Carlos Silva,19/08/2024,19/08/2024,CONCLUIDA,
85,Gustavo Henrique Fernandes,16/10/1968,7140439,43271650853,"Trecho Olivia Cavalcante, 69",4,nan,Vila Paraiso,Sao Paulo,SP,69034321,551104036699,P003,Tablet,5,1800.0,Boleto,L002,Loja Shopping,V003,Joao Souza,22/10/2025,22/10/2025,CONCLUIDA,
86,Diego Jesus,10/09/1988,4547621,15632984737,Vila de da Costa,19,nan,Madre Gertrudes,Sao Paulo,SP,07929888,8185322884,P007,Mouse,1,80.0,Cartao Debito,L002,Loja Shopping,V004,Antonio Santos,07/10/2024,07/10/2024,CONCLUIDA,
87,Igor Sa,05/05/2004,5328496,84350629700,Patio Joana Moura,399,nan,Conjunto California Ii,Sao Paulo,SP,85694515,5506100847761,P006,Caixa de Som,5,200.0,Boleto,L001,Loja Centro,V002,Maria Oliveira,11/01/2025,11/01/2025,CONCLUIDA,
88,Heloisa Monteiro,27/12/1996,6649278,73091482669,"Lagoa de Aparecida, 15",7,nan,Vila Nova Cachoeirinha 3a Secao,Sao Paulo,SP,40858607,552147995775,P001,Notebook,2,3500.0,Dinheiro,L003,Loja Bairro,V006,Thiago Costa,22/01/2025,22/01/2025,CONCLUIDA,
89,Zoe da Luz,15/05/1965,8040829,27164593809,"Vale Ramos, 74",19,nan,Aparecida 7a Secao,Sao Paulo,SP,94253710,554101670733,P004,Monitor,1,950.0,Cartao Credito,L003,Loja Bairro,V005,Barone Mendes,24/03/2025,24/03/2025,CONCLUIDA,
90,Breno Caldeira,21/11/1974,2440236,26539748191,"Praca de Santos, 927",92,nan,Pantanal,Sao Paulo,SP,65773734,553162457698,P008,Impressora,5,600.0,Boleto,L002,Loja Shopping,V004,Antonio Santos,10/07/2024,10/07/2024,CONCLUIDA,
91,Bruno Sa,05/09/1959,6518102,48357096166,"Parque Rios, 96",50,nan,Delta,Sao Paulo,SP,16704531,554197719192,P007,Mouse,1,80.0,Boleto,L001,Loja Centro,V001,Carlos Silva,22/08/2025,22/08/2025,CONCLUIDA,
92,Bruna da Costa,11/07/1984,2286893,8372451923,"Alameda Ana Beatriz Marques, 281",6,nan,Alto Dos Pinheiros,Sao Paulo,SP,60398481,7147871866,P006,Caixa de Som,4,200.0,Cartao Debito,L003,Loja Bairro,V006,Thiago Costa,06/09/2024,06/09/2024,CONCLUIDA,
93,Ravi Guerra,18/12/2003,2308540,71435209699,"Lagoa de Montenegro, 43",689,nan,Funcionarios,Sao Paulo,SP,39410650,558448117683,P005,Teclado,4,150.0,Pix,L001,Loja Centro,V002,Maria Oliveira,23/09/2024,23/09/2024,CONCLUIDA,
94,Noah da Cruz,12/04/1981,7159010,28305671968,"Rodovia de Fonseca, 42",15,nan,Novo Tupi,Sao Paulo,SP,30276865,1176348960,P006,Caixa de Som,1,200.0,Boleto,L003,Loja Bairro,V006,Thiago Costa,01/06/2024,01/06/2024,CONCLUIDA,
95,Calebe Goncalves,25/02/1965,4443885,45230187662,"Colonia Vieira, 47",56,nan,Vila Sao Dimas,Sao Paulo,SP,93008416,552123983244,P005,Teclado,5,150.0,Cartao Debito,L002,Loja Shopping,V003,Joao Souza,22/07/2025,22/07/2025,CONCLUIDA,
