id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,numero,complemento,bairro,cidade,estado,cep,telefone,codigo_produto,quantidade,data_venda,data_compra,forma_pagamento,codigo_loja,codigo_vendedor,valor_produto
39,Arthur Gabriel Almeida,27/07/1999,2034451,85142706994,"Rodovia de Sampaio, 73",99,nan,Castanheira,Sao Paulo,SP,57748967,5508429332786,P001,2,17/05/2024,17/05/2024,Cartao Debito,L002,V003,3500.0
40,Mariah Garcia,28/12/1990,2556061,4539628151,"Aeroporto Rodrigo Ribeiro, 4",44,nan,Vista Do Sol,Sao Paulo,SP,65581410,6133154753,P001,3,09/01/2024,09/01/2024,Pix,L002,V004,3500.0
41,Ayla Silveira,29/11/1994,9826617,24875693109,Condominio de Almeida,56,nan,Graca,Sao Paulo,SP,59179131,556188438332,P006,1,29/01/2025,29/01/2025,Cartao Credito,L001,V002,200.0
42,Nicole Rios,22/06/1966,9479279,23190846570,"Feira de Cirino, 98",367,nan,California,Sao Paulo,SP,74529294,1189694150,P004,3,23/05/2024,23/05/2024,Cartao Debito,L003,V005,950.0
43,Maya Aparecida,24/07/1970,4866043,86074513910,"Nucleo de Garcia, 5",2,nan,Vila Nova Gameleira 3a Secao,Sao Paulo,SP,08887369,5508186043065,P008,1,06/09/2025,06/09/2025,Dinheiro,L002,V003,600.0
44,Maria Laura Sampaio,19/01/1979,1565426,53971420850,"Lagoa Dias, 24",92,nan,Cardoso,Sao Paulo,SP,03960703,9000652502,P008,2,10/12/2023,10/12/2023,Dinheiro,L003,V006,600.0
45,Caroline Pacheco,03/03/1955,1170340,87910453205,"Chacara das Neves, 682",132,nan,Anchieta,Sao Paulo,SP,63926463,5502164848899,P008,2,24/12/2024,24/12/2024,Dinheiro,L002,V004,600.0
46,Maria Vitoria Pires,27/11/2004,4405276,2546871994,"Residencial de Sales, 35",385,nan,Paulo Vi,Sao Paulo,SP,39239277,5504126701891,P007,5,13/04/2024,13/04/2024,Cartao Debito,L003,V005,80.0
47,Joao Guilherme Andrade,29/06/1974,8350804,43219806740,"Ladeira Guerra, 54",1,nan,Custodinha,Sao Paulo,SP,63455372,5503116633198,P003,3,02/10/2025,02/10/2025,Cartao Debito,L003,V005,1800.0
48,Aylla da Cruz,18/10/2002,8692205,3182964542,"Trevo de Camargo, 137",526,nan,Boa Uniao 2a Secao,Sao Paulo,SP,59904920,6176013886,P008,1,07/04/2024,07/04/2024,Cartao Debito,L003,V005,600.0
49,Beatriz Vargas,21/07/1974,7373926,69478253000,"Praca Julia Cunha, 29",11,nan,Guarani,Sao Paulo,SP,53345157,552160743760,P008,5,05/03/2025,05/03/2025,Cartao Debito,L002,V003,600.0
50,Maria Helena Ribeiro,13/05/1992,8804327,74206315817,"Lago de da Mota, 8",20,nan,Boa Uniao 1a Secao,Sao Paulo,SP,37186907,554171976466,P004,5,31/12/2023,31/12/2023,Cartao Debito,L003,V005,950.0
51,Arthur Miguel Brito,22/05/1973,5554841,9387126595,"Campo Luiz Gustavo Porto, 42",43,nan,Vista Do Sol,Sao Paulo,SP,20321914,2195785860,P002,4,10/07/2024,10/07/2024,Pix,L001,V002,2500.0
52,Arthur Miguel Cardoso,18/03/1977,1483834,90247316580,"Condominio da Mata, 979",9,nan,Vila Santo Antonio Barroquinha,Sao Paulo,SP,83242319,552168516206,P006,3,03/12/2023,03/12/2023,Dinheiro,L002,V003,200.0
53,Leandro Cirino,05/08/1991,3726375,63578120480,"Chacara Garcia, 21",90,nan,Chacara Leonina,Sao Paulo,SP,83360104,3000261008,P001,1,08/12/2023,08/12/2023,Cartao Debito,L003,V006,3500.0
54,Benicio Novais,01/09/2001,3167919,57013824941,"Avenida Valentina Guerra, 38",45,nan,Tupi A,Sao Paulo,SP,07796557,2146650504,P007,5,19/11/2023,19/11/2023,Cartao Credito,L001,V002,80.0
55,Ayla Araujo,30/08/1982,5635960,85027164920,"Viela de Cunha, 70",690,nan,Vila Mangueiras,Sao Paulo,SP,49529197,8147462603,P003,4,20/01/2024,20/01/2024,Cartao Debito,L001,V001,1800.0
56,Stella Camara,25/09/1993,7323683,15380497675,"Conjunto Antony Guerra, 559",829,nan,Etelvina Carneiro,Sao Paulo,SP,28121086,5508104987159,P008,1,25/10/2023,25/10/2023,Pix,L001,V001,600.0
57,Luiz Henrique Teixeira,05/09/2002,7883458,13627854900,"Viaduto Freitas, 38",872,nan,Jonas Veiga,Sao Paulo,SP,58091339,8437072140,P002,2,08/09/2024,08/09/2024,Dinheiro,L002,V003,2500.0
58,Cecilia Fonseca,15/06/2004,7286393,46279530116,"Patio de Castro, 52",81,nan,Estrela,Sao Paulo,SP,29213903,552175490690,P001,1,02/09/2025,02/09/2025,Cartao Credito,L002,V004,3500.0
59,Vitor da Costa,15/11/2000,1984146,48516209776,"Colonia de Freitas, 20",233,nan,Mangabeiras,Sao Paulo,SP,06319115,553156600088,P006,5,25/08/2024,25/08/2024,Pix,L002,V004,200.0
60,Giovanna Leao,15/02/1981,2135012,64823701950,"Vila Moreira, 362",95,nan,Monsenhor Messias,Sao Paulo,SP,55207497,5508156818273,P005,2,08/11/2023,08/11/2023,Cartao Debito,L002,V004,150.0
61,Andre Martins,03/12/1968,6126632,35124706880,"Area Novaes, 578",254,nan,Vila Jardim Montanhes,Sao Paulo,SP,48179044,7180814671,P003,1,24/03/2025,24/03/2025,Cartao Debito,L001,V002,1800.0
62,Lucas Correia,09/02/1986,6330920,35286947000,"Esplanada de da Luz, 23",67,nan,Coracao Eucaristico,Sao Paulo,SP,01252622,9003236524,P005,3,10/08/2025,10/08/2025,Pix,L003,V005,150.0
63,Maria Isis Lopes,14/07/1958,2734402,3819257497,"Parque de Ferreira, 51",371,nan,Copacabana,Sao Paulo,SP,80059526,1185458186,P005,4,11/10/2025,11/10/2025,Cartao Credito,L002,V004,150.0
64,Luiz Gustavo Vieira,15/02/1956,9659501,23914678003,"Aeroporto de Monteiro, 55",52,nan,Vila Santa Monica 1a Secao,Sao Paulo,SP,91004163,5508485423551,P003,2,23/07/2025,23/07/2025,Pix,L001,V002,1800.0
65,Mathias Nunes,29/11/1988,6242876,89267031503,"Rua de da Paz, 69",496,nan,Sao Jose,Sao Paulo,SP,38438618,552126690320,P001,1,26/10/2023,26/10/2023,Cartao Debito,L001,V001,3500.0
66,Valentim Cavalcanti,18/12/1972,5968083,18240579388,"Estacao Liam Pinto, 17",81,nan,Conjunto Minas Caixa,Sao Paulo,SP,11025599,5508160579067,P001,2,10/09/2024,10/09/2024,Dinheiro,L002,V003,3500.0
67,Maite Mendonca,19/10/1981,3235247,73602418553,"Estrada de Camargo, 150",17,nan,Liberdade,Sao Paulo,SP,11538098,553104170598,P006,3,05/09/2024,05/09/2024,Cartao Debito,L002,V003,200.0
68,Juan Teixeira,21/03/1974,5708056,68371502940,"Residencial de Martins, 65",84,nan,Vila Das Oliveiras,Sao Paulo,SP,53618204,6106967047,P008,5,06/11/2023,06/11/2023,Cartao Credito,L001,V002,600.0
69,Heloisa Monteiro,30/12/1985,6023393,76291084511,"Aeroporto Matteo Teixeira, 914",7,nan,Buritis,Sao Paulo,SP,46381908,5506153207845,P006,3,17/11/2023,17/11/2023,Cartao Credito,L001,V002,200.0
70,Alice Novaes,24/11/1959,5735566,76019324516,"Quadra Ana Sophia Barbosa, 60",6,nan,Europa,Sao Paulo,SP,39960538,557159978211,P006,3,26/08/2025,26/08/2025,Cartao Debito,L002,V003,200.0
71,Daniela Duarte,04/02/1960,6204439,54013897288,"Vale Maria da Mota, 71",24,nan,Indaia,Sao Paulo,SP,76026045,5505142350744,P001,4,18/04/2024,18/04/2024,Dinheiro,L003,V006,3500.0
72,Isadora Machado,14/10/1970,5296785,80276913540,Loteamento Fernando Cassiano,80,nan,Conjunto Celso Machado,Sao Paulo,SP,29824229,5501111428880,P006,2,04/08/2025,04/08/2025,Pix,L003,V006,200.0
73,Maria Laura da Cunha,14/07/1958,9950857,3189752621,"Estrada Montenegro, 406",43,nan,Mineirao,Sao Paulo,SP,05065884,558196595732,P002,2,22/09/2025,22/09/2025,Pix,L003,V006,2500.0
74,Laura Vargas,05/11/1974,9715055,54026389189,"Estrada Davi Miguel Garcia, 499",80,nan,Vila Tirol,Sao Paulo,SP,18421799,557110294509,P006,4,16/03/2025,16/03/2025,Dinheiro,L001,V002,200.0
75,Nicolas Lopes,23/07/1958,2608458,34657108948,"Sitio de Melo, 30",7,nan,Savassi,Sao Paulo,SP,28918363,3109431379,P006,2,29/09/2025,29/09/2025,Dinheiro,L003,V006,200.0
76,Jade Cirino,06/09/1990,4050442,71930258640,"Loteamento Cirino, 45",79,nan,Grotinha,Sao Paulo,SP,99360865,1148518775,P002,2,02/10/2025,02/10/2025,Dinheiro,L002,V003,2500.0
77,Yago Almeida,16/04/1986,5433666,13980267512,"Fazenda de da Mata, 15",44,nan,Andiroba,Sao Paulo,SP,09404777,3138429081,P008,1,28/01/2025,28/01/2025,Dinheiro,L003,V005,600.0
78,Emanuelly Casa Grande,16/10/1962,3061131,17034268940,"Parque Vitor Oliveira, 83",41,nan,Santa Tereza,Sao Paulo,SP,82688889,6167503850,P007,1,22/11/2023,22/11/2023,Cartao Credito,L003,V006,80.0
79,Sarah Machado,27/10/1999,7069544,93270148631,"Vila Levi Montenegro, 3",10,nan,Vista Do Sol,Sao Paulo,SP,19955182,554101075926,P005,5,19/05/2025,19/05/2025,Dinheiro,L001,V002,150.0
80,Antonella Novaes,22/01/1978,1040111,47608521317,Viela de Camara,8,nan,Serra,Sao Paulo,SP,08060596,553179184180,P008,4,09/10/2024,09/10/2024,Pix,L002,V004,600.0
81,Samuel Vargas,22/04/2001,2269410,40739816500,"Nucleo Siqueira, 863",69,nan,Sao Geraldo,Sao Paulo,SP,95506033,6133418404,P002,4,01/03/2024,01/03/2024,Cartao Debito,L003,V006,2500.0
82,Arthur Gabriel Goncalves,14/10/1957,1808837,97546102820,Loteamento Olivia Leao,94,nan,Santa Isabel,Sao Paulo,SP,96702728,5504173821960,P007,2,05/09/2025,05/09/2025,Cartao Debito,L002,V004,80.0
83,Marcos Vinicius Pastor,20/01/1963,9833213,89610724558,"Setor Felipe da Paz, 87",34,nan,Vila Nova Cachoeirinha 3a Secao,Sao Paulo,SP,69415894,556175188349,P007,2,24/02/2024,24/02/2024,Cartao Credito,L002,V003,80.0
84,Luiz Henrique Nascimento,19/10/1992,3641253,73605981259,"Trecho de Fernandes, 20",93,nan,Nova Gameleira,Sao Paulo,SP,34656089,5009292186,P002,1,24/09/2025,24/09/2025,Cartao Credito,L001,V001,2500.0
85,Marcelo Brito,30/12/1973,5024218,21689074558,"Largo Mendes, 75",892,nan,Castelo,Sao Paulo,SP,62926449,8150000641,P002,1,03/11/2023,03/11/2023,Dinheiro,L002,V003,2500.0
86,Davi Lucca Rocha,30/08/1982,1101169,95213678068,Via Joao Miguel Cunha,26,nan,Beira Linha,Sao Paulo,SP,43164304,555191136737,P006,1,23/03/2024,23/03/2024,Pix,L001,V002,200.0
87,Livia Cirino,22/03/1964,8205421,13960428731,"Conjunto de Lopes, 460",729,nan,Santa Ines,Sao Paulo,SP,05532642,7165597851,P008,5,21/04/2025,21/04/2025,Cartao Debito,L003,V005,600.0
88,Maria Laura Cassiano,03/02/1958,7657937,63815094224,"Viela de Borges, 85",4,nan,Sao Cristovao,Sao Paulo,SP,64216273,7119072688,P002,3,24/03/2024,24/03/2024,Cartao Credito,L002,V003,2500.0
89,Carlos Eduardo Pereira,27/10/1993,3375133,98160534701,"Lago de Aragao, 9",29,nan,Vila Das Oliveiras,Sao Paulo,SP,61284599,5505158604790,P003,3,25/08/2024,25/08/2024,Dinheiro,L002,V003,1800.0
90,Ana Livia Pinto,02/11/1979,5249388,68045317280,"Largo de Correia, 4",97,nan,Ribeiro De Abreu,Sao Paulo,SP,77095972,8478430783,P006,4,09/06/2024,09/06/2024,Dinheiro,L001,V001,200.0
91,Luigi Castro,17/04/1984,2869554,74018295685,"Condominio Guilherme Goncalves, 11",40,nan,Atila De Paiva,Sao Paulo,SP,83756232,5127019250,P005,5,24/10/2023,24/10/2023,Cartao Credito,L002,V004,150.0
92,Maya Pereira,12/12/2001,8348062,84651073948,"Campo da Costa, 781",99,nan,Castanheira,Sao Paulo,SP,44200545,555152590907,P007,5,07/05/2025,07/05/2025,Cartao Credito,L001,V002,80.0
93,Sara Cunha,26/12/1964,7234625,43058197675,"Ladeira Alicia Macedo, 96",9,nan,Aparecida 7a Secao,Sao Paulo,SP,51391584,555196528467,P006,2,02/02/2025,02/02/2025,Cartao Credito,L002,V004,200.0
94,Luiza Freitas,03/08/1981,3905315,83162790530,"Rua de Rodrigues, 35",52,nan,Custodinha,Sao Paulo,SP,58291827,8498218129,P007,5,25/12/2024,25/12/2024,Pix,L001,V002,80.0
95,Antony Porto,08/06/2006,1415986,85219074601,Alameda Lima,70,nan,Vila Nova Gameleira 2a Secao,Sao Paulo,SP,65109819,5502106735014,P005,4,01/02/2025,01/02/2025,Cartao Credito,L003,V006,150.0
96,Alana da Mota,15/06/1992,6313657,27516094307,"Fazenda Marina Rodrigues, 63",36,nan,Vila Sao Joao Batista,Sao Paulo,SP,63198534,1113765095,P002,2,09/08/2024,09/08/2024,Dinheiro,L001,V001,2500.0
97,Leticia Cunha,29/04/1955,7119607,74316582062,"Fazenda de Pires, 34",45,nan,Vila Uniao,Sao Paulo,SP,28316684,551141177464,P007,2,21/05/2025,21/05/2025,Pix,L002,V004,80.0
98,Luiz Fernando Goncalves,24/12/1979,7974390,59247136016,Recanto Novais,96,nan,Nossa Senhora Da Aparecida,Sao Paulo,SP,22594024,8168933248,P003,3,17/12/2023,17/12/2023,Cartao Debito,L001,V002,1800.0
99,Maria Laura Rodrigues,07/05/1969,5240866,64352810924,Praca Sousa,36,nan,Vila Aeroporto,Sao Paulo,SP,68698817,5507166540211,P002,1,15/06/2024,15/06/2024,Cartao Debito,L002,V003,2500.0
100,Juan Jesus,16/03/1975,4169078,87526193030,"Distrito Alves, 43",11,nan,Marmiteiros,Sao Paulo,SP,21433655,9008472881,P007,3,19/01/2024,19/01/2024,Dinheiro,L003,V005,80.0
