id_cliente;nome_cliente;data_nascimento;rg;cpf;endereco;numero;complemento;bairro;cidade;estado;cep;telefone;codigo_produto;nome_produto;quantidade;valor_produto;data_venda;forma_pagamento;codigo_loja;nome_loja;codigo_vendedor;nome_vendedor
11;Thiago das Neves;25/02/1990;5472441;642.135.978-73;Aeroporto de da Rosa, 73;895;;Paquetá;Rocha de Cunha;PE;21489-513;(041) 3320 0379;005;Teclado;1;150.0;29/08/2025;Dinheiro;L001;Loja Centro;V002;Fernanda
12;Rafael Leão;09/10/2001;9658155;367.915.084-93;Vila Moreira, 90;81;;Chácara Leonina;Rios de Moura;PI;79868-727;(041) 4348-7347;006;Caixa de som;5;200.0;19/11/2024;Pix;L003;Loja Bairro;V005;Barone
13;Isaac da Mata;10/08/1972;9062250;128.936.405-24;Setor Maria Flor Leão, 4;16;;Sagrada Família;Mendes do Sul;MS;66889-373;+55 81 6706-5627;006;Caixa de som;1;200.0;23/09/2025;Cartão de Crédito;L003;Loja Bairro;V005;Barone
14;Yasmin Alves;16/11/2002;9930312;901.537.682-40;Largo Otávio Marques, 75;56;;Floresta;Melo;AC;53100330;0900-232-7193;003;Tablet;1;1800.0;10/04/2025;Cartão de Débito;L001;Loja Centro;V002;Fernanda
15;Léo Cavalcante;02/12/1986;1921542;241.809.375-14;Vila de Pires;51;;Renascença;Vieira;RJ;58651850;84 7165 7262;003;Tablet;4;1800.0;17/07/2025;Pix;L001;Loja Centro;V002;Fernanda
16;Júlia Pimenta;23/08/1997;9029043;796.854.210-30;Ladeira Machado, 77;80;;Renascença;Cirino do Amparo;DF;45494-808;+55 (071) 1367-8377;003;Tablet;2;1800.0;04/04/2025;Pix;L003;Loja Bairro;V005;Barone
17;Caleb da Rocha;21/07/1966;4081983;457.962.381-91;Quadra de da Mata, 44;4;;Lagoa;Souza;PI;33749894;+55 41 3435 2408;005;Teclado;2;150.0;07/12/2024;Boleto;L003;Loja Bairro;V005;Barone
18;Benjamim Novaes;17/04/1970;2118618;710.423.685-62;Jardim Mendes, 2;27;;Teixeira Dias;Cassiano;BA;13186-999;+55 21 8677-4964;002;Smartphone;4;2200.0;18/05/2025;Dinheiro;L002;Loja Shopping;V007;Mackenzie
19;Carlos Eduardo Teixeira;27/10/1965;3540415;412.869.037-69;Vila Maria Isis da Rocha, 4;84;;Biquinhas;da Luz;SE;61832421;+55 (081) 2499 4717;006;Caixa de som;5;200.0;01/07/2025;Cartão de Débito;L003;Loja Bairro;V006;Thiago
20;Sra. Júlia Montenegro;05/06/1983;7344375;106.524.783-44;Travessa de Pastor, 5;802;;São Cristóvão;da Mota de Cirino;RJ;71756-551;+55 (031) 5674-6807;001;Notebook;2;3500.0;23/11/2024;Cartão de Crédito;L002;Loja Shopping;V004;Mariana
21;Lorenzo Camargo;24/03/2006;6780932;807.391.264-31;Avenida Nicolas da Mata, 824;11;;Vila Boa Vista;Santos;CE;80861-317;+55 71 2748 4677;003;Tablet;1;1800.0;19/01/2025;Cartão de Débito;L003;Loja Bairro;V006;Thiago
22;Clara Gomes;28/11/1964;8526867;214.639.708-03;Trecho Mariana Cassiano, 88;95;;Vila Santo Antônio;Marques Alegre;DF;96360576;51 2702 8951;002;Smartphone;4;2200.0;06/09/2025;Dinheiro;L003;Loja Bairro;V006;Thiago
23;Beatriz Moura;23/01/2003;257489;269.037.451-06;Loteamento Rocha, 865;209;;Flavio Marques Lisboa;da Conceição de Minas;PA;17240050;(021) 5562 3869;002;Smartphone;3;2200.0;28/06/2025;Cartão de Débito;L001;Loja Centro;V002;Fernanda
24;Enzo Gabriel Cavalcanti;29/12/1958;6418028;937.415.826-46;Viaduto Antony Martins, 38;8;;Mantiqueira;Porto das Pedras;RR;74367-136;0500 594 4064;006;Caixa de som;5;200.0;24/10/2024;Dinheiro;L003;Loja Bairro;V006;Thiago
25;Ana Julia Pereira;21/04/1994;4801541;359.814.270-60;Vereda Ramos, 5;60;;Vila Ouro Minas;Borges;MA;62328-588;+55 81 2474-5171;003;Tablet;2;1800.0;12/12/2024;Cartão de Débito;L003;Loja Bairro;V006;Thiago
26;Miguel Novais;12/03/1974;6619862;041.325.687-17;Fazenda de Melo;9;;Leticia;Ramos;AP;46120-047;+55 61 1382 6758;001;Notebook;1;3500.0;24/03/2025;Cartão de Crédito;L001;Loja Centro;V001;Carlos
27;Dra. Daniela Leão;08/07/1989;8209880;964.052.137-06;Colônia Emilly Nogueira, 70;23;;Jardim América;Borges de Ribeiro;DF;05329318;+55 (084) 9335-2904;006;Caixa de som;4;200.0;01/09/2025;Boleto;L001;Loja Centro;V002;Fernanda
28;Davi Lucca Nogueira;04/02/1968;2927575;102.879.563-77;Conjunto Sousa, 28;8;;Parque São Pedro;Moraes Verde;AM;83908-470;+55 (081) 7661 7711;004;Monitor;5;950.0;16/02/2025;Dinheiro;L003;Loja Bairro;V006;Thiago
29;Benício Cardoso;20/05/1969;9820789;856.472.391-37;Condomínio de Rezende;836;;Lourdes;Jesus;MT;66156-545;+55 (021) 7111-1615;005;Teclado;1;150.0;15/08/2025;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
30;Ana Liz Pastor;05/07/2005;9423483;516.293.087-30;Travessa Montenegro, 82;61;;Bandeirantes;Camargo Paulista;RJ;68998094;+55 (041) 2445 5022;006;Caixa de som;3;200.0;17/05/2025;Cartão de Crédito;L002;Loja Shopping;V004;Mariana
31;Ana Lívia Casa Grande;29/01/1994;514340;183.765.209-03;Largo de Vasconcelos, 191;12;;Vila Independencia 2ª Seção;da Mata;PB;79764-381;(084) 6149 7840;002;Smartphone;4;2200.0;10/01/2025;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
32;Ana Laura Abreu;23/08/1965;3543918;248.905.361-24;Parque Nascimento, 98;71;;Santa Efigênia;Lopes;AC;15969-664;+55 61 6052 9751;005;Teclado;2;150.0;30/03/2025;Boleto;L001;Loja Centro;V002;Fernanda
33;Joaquim Lopes;07/01/1986;8790632;164.529.803-51;Condomínio de Moura, 635;23;;Cônego Pinheiro 1ª Seção;Costa da Serra;RN;12779979;0900-552-7177;006;Caixa de som;5;200.0;10/06/2025;Boleto;L001;Loja Centro;V001;Carlos
34;Benjamin Fogaça;12/09/1981;5207779;790.825.643-00;Rodovia de Gomes, 99;8;;Castelo;Duarte;RN;82071-518;+55 (051) 0377-8892;003;Tablet;2;1800.0;04/03/2025;Boleto;L003;Loja Bairro;V005;Barone
35;Mathias Jesus;09/11/1995;878547;519.043.286-60;Trecho Ribeiro, 55;22;;João Paulo Ii;Ramos Alegre;TO;81685054;+55 (061) 3573-3221;005;Teclado;3;150.0;07/02/2025;Dinheiro;L001;Loja Centro;V001;Carlos
36;Thiago Vargas;01/06/1983;8833734;052.431.697-06;Área Juliana Fonseca, 57;93;;Frei Leopoldo;Viana do Amparo;TO;59774688;84 2392 4075;003;Tablet;3;1800.0;12/05/2025;Cartão de Débito;L001;Loja Centro;V001;Carlos
37;Valentim Campos;01/12/1969;2689594;472.630.158-62;Avenida Isabela Montenegro;73;;Boa Vista;Câmara do Sul;MT;52204727;(041) 9010-4328;005;Teclado;1;150.0;01/10/2025;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
38;Vitória Lima;13/09/1960;4833542;341.079.862-50;Trevo Stella Almeida, 393;16;;Vila Aeroporto Jaraguá;da Costa Verde;PA;18518888;81 0670-6540;001;Notebook;5;3500.0;01/03/2025;Cartão de Débito;L001;Loja Centro;V002;Fernanda
39;Luiz Felipe da Costa;27/08/1993;1739191;952.074.836-92;Quadra de Sampaio, 32;8;;Aparecida 7ª Seção;Costa do Norte;SE;05486874;+55 (051) 3450 5415;005;Teclado;2;150.0;30/03/2025;Pix;L003;Loja Bairro;V006;Thiago
40;Maysa Gomes;11/10/1972;3134272;795.642.081-49;Trevo Luiz Miguel Nogueira;25;;Boa Viagem;Ribeiro da Mata;MA;96275-705;0800-640-1658;002;Smartphone;5;2200.0;11/08/2025;Cartão de Débito;L003;Loja Bairro;V006;Thiago
41;Eduarda Alves;17/05/1962;7351320;021.758.469-11;Viela Machado, 85;3;;São Gonçalo;Gonçalves Alegre;RS;31027-868;+55 71 4473 9473;004;Monitor;3;950.0;05/12/2024;Dinheiro;L003;Loja Bairro;V006;Thiago
42;Rael Cavalcanti;09/06/2002;7467726;158.704.296-76;Vila de Porto, 95;41;;Vila Tirol;da Costa;SE;05895-782;0800-114-6786;001;Notebook;2;3500.0;30/07/2025;Cartão de Débito;L001;Loja Centro;V002;Fernanda
43;Ana Sophia Cardoso;06/05/2006;1244282;795.148.603-57;Condomínio Moreira, 34;45;;Marajó;Barros Paulista;DF;24981-829;0800 229 9590;001;Notebook;5;3500.0;20/08/2025;Boleto;L001;Loja Centro;V001;Carlos
44;Bruno Aparecida;29/01/2005;9676615;436.950.821-51;Recanto Samuel Rodrigues, 84;1;;Conjunto Capitão Eduardo;Leão de Mendes;PB;59255562;31 8815 3714;001;Notebook;1;3500.0;04/04/2025;Cartão de Crédito;L001;Loja Centro;V001;Carlos
45;Calebe Aragão;10/03/1970;6444964;963.812.407-50;Quadra de Monteiro, 17;7;;Santa Rita De Cássia;da Costa de Cunha;RJ;00479-748;+55 (021) 1624 5650;001;Notebook;3;3500.0;17/03/2025;Cartão de Crédito;L003;Loja Bairro;V005;Barone
46;Evelyn Fonseca;17/02/1984;1233658;687.942.035-47;Loteamento Emanuelly Sá, 93;18;;Bacurau;Carvalho;RR;78729-825;0800-526-9495;003;Tablet;4;1800.0;25/04/2025;Cartão de Débito;L003;Loja Bairro;V005;Barone
47;Yasmin Mendonça;15/05/1992;5029651;705.298.361-30;Vila de Pires, 8;49;;Vila Nova Gameleira 3ª Seção;Pacheco;PR;89623091;+55 (071) 0756-2636;006;Caixa de som;5;200.0;23/04/2025;Boleto;L002;Loja Shopping;V003;Joao
48;Olivia Sousa;12/05/1993;2316639;835.794.610-01;Loteamento de Nogueira, 84;53;;Saudade;Câmara da Mata;SP;37575-844;+55 71 9866 5240;004;Monitor;4;950.0;04/02/2025;Cartão de Débito;L001;Loja Centro;V001;Carlos
49;Srta. Manuella Macedo;29/07/1989;8037616;394.752.106-52;Viaduto Moura, 13;7;;Lindéia;Brito de Rodrigues;SP;08267734;(061) 4019 3802;006;Caixa de som;4;200.0;23/03/2025;Pix;L002;Loja Shopping;V004;Mariana
50;Arthur Miguel Gonçalves;27/07/1996;3125790;408.295.716-20;Setor de Moura, 92;44;;Xangri-Lá;Farias;CE;42054-932;0800-668-5161;004;Monitor;1;950.0;28/12/2024;Cartão de Crédito;L001;Loja Centro;V002;Fernanda
51;Rhavi Duarte;28/05/2004;114590;463.725.980-00;Núcleo de Sales, 20;34;;Nossa Senhora De Fátima;Sales do Campo;RS;59332-727;0500-568-7833;006;Caixa de som;3;200.0;28/06/2025;Cartão de Crédito;L001;Loja Centro;V001;Carlos
52;Anna Liz Moura;27/06/1978;6069742;190.645.827-85;Rua Luísa Camargo, 89;9;;Parque São José;Marques;BA;79087-406;+55 61 0391-0651;002;Smartphone;5;2200.0;08/05/2025;Dinheiro;L001;Loja Centro;V002;Fernanda
53;Bernardo Melo;28/06/1956;6859648;296.835.410-89;Setor de Carvalho, 31;368;;Vila Oeste;Abreu;SP;47868633;(051) 5243-1069;002;Smartphone;3;2200.0;29/07/2025;Dinheiro;L001;Loja Centro;V001;Carlos
54;Isaque Costela;17/05/1958;9964729;079.158.364-39;Avenida Carvalho, 643;495;;Jardim Vitoria;Ribeiro;PE;64408926;84 7056-8566;004;Monitor;5;950.0;15/12/2024;Cartão de Crédito;L001;Loja Centro;V001;Carlos
55;Ester Sá;27/04/1983;4042775;342.690.518-33;Jardim Costela, 81;91;;Vila Nova Paraíso;Aragão;GO;99013-983;(081) 3540-3317;001;Notebook;2;3500.0;21/09/2025;Cartão de Débito;L002;Loja Shopping;V004;Mariana
56;Dra. Gabrielly Gonçalves;24/04/2003;9262353;546.382.917-91;Quadra Gael Henrique Silveira, 45;75;;Bacurau;Sousa;BA;48996423;(071) 3693 7854;004;Monitor;2;950.0;28/07/2025;Dinheiro;L001;Loja Centro;V001;Carlos
57;Rebeca Marques;22/09/1963;5908535;297.140.538-97;Pátio Carvalho, 31;4;;Santa Rita De Cássia;Freitas de Araújo;RN;70088-600;51 4840 8621;004;Monitor;1;950.0;23/09/2025;Dinheiro;L002;Loja Shopping;V004;Mariana
58;Clarice da Costa;24/12/1964;8832465;459.630.218-98;Vila Câmara, 11;7;;Minaslandia;Novaes do Amparo;AL;21765918;+55 (061) 3397 4014;003;Tablet;4;1800.0;16/09/2025;Boleto;L003;Loja Bairro;V006;Thiago
59;Ana Beatriz Cavalcanti;13/01/2004;5276177;032.658.914-70;Travessa Gomes, 356;9;;Vila Piratininga Venda Nova;Aragão do Campo;PA;15999650;+55 81 7735-8662;002;Smartphone;2;2200.0;27/06/2025;Pix;L001;Loja Centro;V001;Carlos
60;Maria Helena Barros;25/09/1995;4955645;318.279.564-37;Colônia Fernando Abreu, 67;31;;Bonsucesso;Lopes;PB;10158-199;(061) 6046 6183;005;Teclado;5;150.0;19/05/2025;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
61;Mateus Cavalcante;02/03/1962;5052144;472.013.859-41;Núcleo da Cunha, 47;31;;Jardinópolis;Gonçalves;MT;57569-245;0500-375-2654;001;Notebook;1;3500.0;17/07/2025;Boleto;L002;Loja Shopping;V007;Mackenzie
62;Rebeca Oliveira;02/04/1996;5467463;649.208.175-76;Alameda de Siqueira, 83;71;;Vila Independencia 1ª Seção;Carvalho de Porto;MA;42661797;0800 688 6805;005;Teclado;2;150.0;05/07/2025;Cartão de Crédito;L003;Loja Bairro;V005;Barone
63;Antonella Caldeira;25/07/1995;5956059;206.793.845-29;Rodovia Souza, 489;75;;Piraja;Ferreira;AC;14611-254;(081) 7387 5717;002;Smartphone;1;2200.0;13/07/2025;Boleto;L001;Loja Centro;V001;Carlos
64;Luiza Azevedo;21/09/1970;1930810;051.876.429-01;Praça de Martins, 36;76;;Álvaro Camargos;Machado;RJ;60334-191;61 2553-7147;004;Monitor;1;950.0;03/05/2025;Boleto;L001;Loja Centro;V001;Carlos
65;Luara Peixoto;29/05/1975;6585795;915.234.867-91;Chácara de Rocha, 25;24;;Conjunto Taquaril;Sales Grande;PE;69296-627;61 2827-4225;005;Teclado;1;150.0;26/08/2025;Dinheiro;L003;Loja Bairro;V006;Thiago
66;Ana Júlia Fogaça;03/04/2005;8130388;236.478.591-09;Praia de Mendonça, 11;14;;Ipe;Nascimento;MA;79788191;+55 81 8580-7836;003;Tablet;2;1800.0;28/11/2024;Pix;L001;Loja Centro;V002;Fernanda
67;Isadora da Rosa;04/03/2001;540736;745.603.982-83;Trecho de Sales, 79;39;;Vila Sesc;Costela;SE;95849825;(021) 4948 1260;004;Monitor;2;950.0;20/10/2025;Pix;L002;Loja Shopping;V004;Mariana
68;Carolina Sampaio;16/09/2000;4188889;253.687.401-07;Parque Marcela Barbosa, 7;845;;Santa Branca;Pacheco do Sul;SP;75186363;11 4545-8929;001;Notebook;1;3500.0;29/08/2025;Dinheiro;L003;Loja Bairro;V005;Barone
69;Sr. Augusto Brito;30/12/1987;7710502;012.369.547-34;Esplanada Yan Borges, 24;12;;Morro Dos Macacos;Silveira de Goiás;PA;10371293;41 7005-1627;001;Notebook;5;3500.0;16/11/2024;Cartão de Débito;L003;Loja Bairro;V006;Thiago
70;Aurora Siqueira;10/07/1997;1731434;594.136.702-34;Esplanada de Macedo, 33;89;;Belvedere;Borges;AM;19656523;+55 84 1389-9940;002;Smartphone;3;2200.0;28/08/2025;Cartão de Crédito;L001;Loja Centro;V002;Fernanda
71;Liz Costela;01/04/1982;8548370;364.501.978-20;Vereda Diego Moura, 6;72;;Belvedere;Fonseca da Prata;RO;71091043;+55 (061) 0684 8666;003;Tablet;2;1800.0;21/11/2024;Dinheiro;L003;Loja Bairro;V006;Thiago
72;Zoe Pimenta;25/11/1962;1402526;413.689.250-06;Praça de Siqueira, 40;7;;Canadá;Pimenta de Pereira;AL;21020-275;41 8425-2410;005;Teclado;5;150.0;21/02/2025;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
73;Júlia Moura;12/03/1958;9674609;178.420.356-44;Jardim Vargas, 2;18;;Atila De Paiva;da Cruz;AL;56220-863;(061) 3654 1951;006;Caixa de som;1;200.0;23/04/2025;Cartão de Débito;L002;Loja Shopping;V003;Joao
74;Felipe Câmara;09/06/1997;770553;617.925.408-76;Estrada Ana Nunes;49;;Piraja;Pastor do Amparo;SP;83206038;(084) 0506 4138;001;Notebook;5;3500.0;16/10/2025;Cartão de Débito;L002;Loja Shopping;V004;Mariana
75;Rebeca Araújo;09/05/2006;2388630;410.893.267-69;Rodovia Carvalho, 11;42;;Jardim Felicidade;Dias das Flores;RR;57431-329;+55 51 2127 7561;005;Teclado;2;150.0;06/05/2025;Pix;L001;Loja Centro;V002;Fernanda
76;Rael das Neves;14/05/1979;2011815;124.657.039-43;Feira Fogaça, 18;34;;Ambrosina;Machado da Prata;SC;17121003;+55 81 3651 9941;005;Teclado;4;150.0;29/10/2024;Pix;L001;Loja Centro;V001;Carlos
77;Gael Henrique Ramos;23/04/1978;2160763;159.036.728-68;Passarela de Monteiro, 7;62;;Ermelinda;da Mota;GO;20999-347;81 8701 4626;006;Caixa de som;4;200.0;03/01/2025;Pix;L001;Loja Centro;V001;Carlos
78;Isadora Pires;30/06/2007;9121045;065.348.271-07;Estação Benjamim Dias, 530;8;;São Gonçalo;Vargas Verde;ES;13348039;51 5223 9559;003;Tablet;2;1800.0;01/11/2024;Pix;L001;Loja Centro;V002;Fernanda
79;Sra. Cecília Nunes;26/01/2005;8258194;842.305.967-74;Recanto de Abreu;49;;Vitoria;Fernandes;RR;50029218;21 1569 1545;005;Teclado;4;150.0;10/12/2024;Boleto;L001;Loja Centro;V001;Carlos
80;Pedro Henrique Vieira;08/09/1988;8173859;529.174.638-64;Lago de Cardoso, 70;602;;Centro;Porto;RJ;72513552;+55 31 5704 3315;001;Notebook;2;3500.0;23/01/2025;Boleto;L001;Loja Centro;V002;Fernanda
81;Alexandre Aragão;06/04/1975;7040612;267.394.801-50;Via de Teixeira, 82;1;;Jardim Guanabara;Dias;GO;15262181;(081) 9970 6296;005;Teclado;5;150.0;18/12/2024;Cartão de Débito;L002;Loja Shopping;V003;Joao
82;Lucas Costela;14/06/2006;6866576;894.526.107-94;Sítio de Mendonça, 60;7;;Bonsucesso;Ribeiro do Amparo;DF;03241714;61 7741 8625;001;Notebook;3;3500.0;11/09/2025;Pix;L001;Loja Centro;V002;Fernanda
83;Sr. Pietro Aparecida;05/10/1968;7802377;439.701.586-48;Pátio de Sá, 138;78;;São Jorge 1ª Seção;Oliveira de da Costa;PR;16089-899;+55 (011) 1722-3320;002;Smartphone;2;2200.0;25/03/2025;Cartão de Crédito;L002;Loja Shopping;V007;Mackenzie
84;Maya Costa;31/08/2007;2480985;945.706.321-06;Ladeira Raquel Marques, 9;71;;Confisco;Nunes;RJ;19148564;51 7997 0246;004;Monitor;5;950.0;13/12/2024;Cartão de Débito;L001;Loja Centro;V001;Carlos
85;Maria Liz Andrade;14/10/1975;5561547;307.268.519-30;Vila Gael Henrique da Conceição, 84;74;;Varzea Da Palma;Correia;PB;67850821;(041) 8628 9023;002;Smartphone;4;2200.0;07/09/2025;Cartão de Crédito;L001;Loja Centro;V002;Fernanda
86;Benjamin da Cruz;24/07/1956;848243;534.287.960-47;Feira Freitas, 89;97;;Marçola;Castro Paulista;SC;40602933;+55 21 3468-0072;004;Monitor;2;950.0;15/06/2025;Pix;L001;Loja Centro;V001;Carlos
87;Alexia Câmara;08/03/1968;5124763;468.723.501-80;Rua de Pinto, 29;9;;Vila Engenho Nogueira;Novais da Mata;MA;71545444;+55 (071) 2830-9652;004;Monitor;1;950.0;12/07/2025;Dinheiro;L001;Loja Centro;V001;Carlos
88;Sara da Rocha;22/07/1968;7022366;690.458.137-93;Vereda de Viana, 95;92;;Conjunto Serra Verde;Brito do Amparo;BA;82513-534;84 5549 4717;004;Monitor;3;950.0;10/11/2024;Pix;L001;Loja Centro;V001;Carlos
89;Ana Sophia Melo;12/12/2001;8396617;164.309.758-00;Quadra de Casa Grande, 22;35;;Juliana;Abreu;PB;32927-129;(021) 6667-6008;001;Notebook;2;3500.0;02/01/2025;Dinheiro;L002;Loja Shopping;V004;Mariana
90;Sr. Lorenzo Sá;20/12/1998;3197346;093.152.487-32;Trecho de das Neves, 11;84;;Vila Oeste;Lopes Grande;MT;53260-332;+55 11 0982-1506;001;Notebook;3;3500.0;07/09/2025;Pix;L003;Loja Bairro;V006;Thiago
91;Vitor Pinto;20/05/1957;804641;108.573.496-00;Recanto Leandro Costela, 5;91;;Indaiá;Leão;TO;89141173;0500-348-3564;006;Caixa de som;5;200.0;19/12/2024;Pix;L001;Loja Centro;V001;Carlos
92;Sara Costela;14/04/1991;8064202;530.796.421-80;Rodovia Barbosa, 5;57;;Heliopolis;Aragão de Brito;TO;04556110;+55 (021) 2255 7941;003;Tablet;2;1800.0;07/03/2025;Boleto;L002;Loja Shopping;V003;Joao
93;Sr. Danilo Guerra;09/01/1976;7659448;467.831.052-53;Colônia Leão, 879;79;;Vila São Paulo;Pimenta do Sul;RO;77167014;(051) 0899 3588;001;Notebook;5;3500.0;30/06/2025;Dinheiro;L002;Loja Shopping;V007;Mackenzie
94;Aylla Lopes;17/11/1989;4170429;756.148.032-62;Residencial Lucas Barbosa, 45;14;;Santa Sofia;Novaes;RS;63177-971;11 7517-0166;003;Tablet;4;1800.0;04/11/2024;Boleto;L003;Loja Bairro;V005;Barone
95;Agatha Borges;09/10/1996;5110305;893.567.210-68;Quadra Farias, 899;27;;Cachoeirinha;Abreu;MT;48851-027;+55 84 6149 3316;004;Monitor;5;950.0;08/01/2025;Cartão de Débito;L002;Loja Shopping;V003;Joao
96;Lucca Caldeira;08/12/1994;780146;917.354.860-00;Avenida de Novaes, 89;329;;Vila Ouro Minas;Caldeira;MG;86693-465;(021) 7226 9848;006;Caixa de som;4;200.0;02/09/2025;Cartão de Crédito;L003;Loja Bairro;V005;Barone
97;Dra. Helena Costa;03/12/1965;4875114;528.467.019-11;Viaduto de Santos, 58;90;;Camargos;Garcia;BA;03424420;(021) 3805 7198;003;Tablet;4;1800.0;03/09/2025;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
98;Dra. Maria Julia da Costa;20/11/1981;4825775;068.352.971-40;Praia de Câmara, 99;533;;Parque São Pedro;Rodrigues;AP;28160648;+55 71 2294-0572;005;Teclado;3;150.0;05/11/2024;Cartão de Crédito;L003;Loja Bairro;V006;Thiago
99;Sr. Kevin Mendonça;03/09/1996;9230156;519.487.023-04;Setor de Guerra, 6;63;;Lindéia;da Rocha do Oeste;SP;80157-399;+55 51 0561 6484;005;Teclado;3;150.0;31/10/2024;Dinheiro;L002;Loja Shopping;V004;Mariana
100;Maria Fernanda Moraes;10/05/1997;7475204;704.512.839-88;Setor de Abreu, 4;26;;Dom Silverio;Ramos de Minas;SC;07501102;+55 61 8193-4667;006;Caixa de som;3;200.0;09/06/2025;Boleto;L001;Loja Centro;V001;Carlos
