id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor,data_compra,erros
11,Hadassa Moraes,11/10/1979,218456037,43810567957,"Vereda Mathias Silva, 77",Garças,Rezende,RR,16328708,55511727889,5,Teclado,2,150.0,Cartão de Crédito,L01,Loja A,V02,Fernanda,13/09/2025,
12,Sofia Lima,20/09/1998,871534605,48751230607,"Loteamento Antonella Nogueira, 3",Conjunto Bonsucesso,Gomes,RR,31665876,55081366909,3,Tablet,1,1800.0,Cartão de Débito,L01,Loja A,V04,Mariana,13/09/2025,
13,Luiz Gustavo da Rosa,19/08/1994,637128503,65981372095,"Travessa de Ribeiro, 2",Vila Copasa,Carvalho dos Dourados,CE,46537556,55846417080,3,Tablet,4,1800.0,Pix,L01,Loja A,V03,João,13/09/2025,
14,Bernardo Vasconcelos,08/06/2005,081675422,71395240680,"Lagoa Caldeira, 704",Nazare,Barbosa,RJ,14919058,01151850671,3,Tablet,2,1800.0,Pix,L03,Loja C,V01,Carlos,13/09/2025,
15,Maria Cecília Porto,14/12/2001,72314865X,76421085911,"Travessa Gabrielly Fernandes, 8",Renascença,Cirino do Amparo,DF,45494-808,55071136783,5,Teclado,2,150.0,Boleto,L03,Loja C,V02,Fernanda,13/09/2025,
16,Allana Borges,17/04/1970,632548174,68527391473,"Estrada Dias, 9",Vila Santo Antônio,Correia,DF,49894-134,55315240824,2,Smartphone,4,2200.0,Dinheiro,L02,Loja B,V02,Fernanda,13/09/2025,
17,Yuri da Rocha,30/08/1991,270648136,75209364143,"Travessa Pires, 3",Confisco,Barros de Goiás,AM,99938-677,03196499091,3,Tablet,1,1800.0,Cartão de Débito,L01,Loja A,V03,João,13/09/2025,
18,Heitor da Luz,13/09/1989,231406575,79401283532,Fazenda de da Luz,Vila Suzana Primeira Seção,Lima,AM,24210249,03004717464,4,Monitor,3,950.0,Cartão de Crédito,L01,Loja A,V03,João,13/09/2025,
19,Ágatha Monteiro,25/11/1977,065247838,30478192622,"Trecho Lopes, 81",Maravilha,Farias Alegre,RO,25674680,05115451680,2,Smartphone,4,2200.0,Dinheiro,L03,Loja C,V04,Mariana,13/09/2025,
20,Ágatha Martins,07/08/1976,354870610,82435607938,"Lagoa Novaes, 9",Nossa Senhora Do Rosário,Câmara,TO,71274846,08173782639,2,Smartphone,3,2200.0,Cartão de Débito,L01,Loja A,V03,João,13/09/2025,
21,Catarina Azevedo,04/05/1969,658420173,97234681582,"Estrada Rhavi Oliveira, 73",Atila De Paiva,Souza do Amparo,RR,62702-895,55417187026,5,Teclado,4,150.0,Boleto,L02,Loja B,V03,João,13/09/2025,
22,Ravy Viana,24/01/2006,568023146,80175264902,"Vereda Santos, 8",Conjunto Lagoa,Alves do Norte,MT,45562386,03002221969,2,Smartphone,2,2200.0,Boleto,L02,Loja B,V01,Carlos,13/09/2025,
23,Isabella Monteiro,29/01/2003,237586101,74203985188,"Quadra Ana Julia Costa, 27",Floramar,Oliveira da Praia,RJ,40640-909,1143953394,1,Notebook,1,3500.0,Cartão de Débito,L03,Loja C,V02,Fernanda,13/09/2025,
24,Cecilia Pires,06/11/1959,046382574,14573980601,"Ladeira de Cavalcante, 57",Vila Primeiro De Maio,Camargo dos Dourados,AP,36851604,6117549651,4,Monitor,5,950.0,Cartão de Crédito,L02,Loja B,V04,Mariana,13/09/2025,
25,Isabel Melo,10/01/1956,854103272,61209735407,"Conjunto de Gomes, 95",Nova Gameleira,Leão,RS,79640537,03135158506,5,Teclado,4,150.0,Boleto,L02,Loja B,V01,Carlos,13/09/2025,
26,Gabriel Campos,29/12/2004,715840368,32904156780,"Trevo Abreu, 32",São Jorge 3ª Seção,Cavalcanti do Campo,RO,20539502,55710268117,1,Notebook,5,3500.0,Pix,L03,Loja C,V03,João,13/09/2025,
27,Sr. Rael Montenegro,10/06/1966,043587124,61753048966,Ladeira Pinto,Vila Califórnia,Garcia do Galho,MA,89611-836,04136576615,1,Notebook,3,3500.0,Dinheiro,L01,Loja A,V04,Mariana,13/09/2025,
28,Luara Rios,17/03/1968,270654136,52046983700,"Viaduto Lavínia Silveira, 5",Urca,Fogaça do Campo,RJ,27315851,55849368998,1,Notebook,3,3500.0,Boleto,L01,Loja A,V01,Carlos,13/09/2025,
29,Juliana Alves,05/04/1964,452018638,12075493804,"Esplanada Ester das Neves, 29",São Bento,Cassiano,CE,14767976,55813815614,3,Tablet,5,1800.0,Boleto,L01,Loja A,V02,Fernanda,13/09/2025,
30,Valentina Rios,17/01/1971,364051875,24890536124,"Parque Nascimento, 98",Vila De Sá,Barbosa das Flores,SC,60715969,7164160529,3,Tablet,2,1800.0,Boleto,L03,Loja C,V01,Carlos,13/09/2025,
31,Maria Cecília Borges,04/11/1977,13746082X,53961042870,"Morro Juan da Costa, 3",Grotinha,Cavalcanti,RN,12779979,09005527177,5,Teclado,3,150.0,Dinheiro,L01,Loja A,V01,Carlos,13/09/2025,
32,Liz Vieira,04/04/1969,054823171,05498631766,"Via de Correia, 89",Santa Maria,Araújo,PB,51820377,5189255466,3,Tablet,3,1800.0,Cartão de Débito,L01,Loja A,V02,Fernanda,13/09/2025,
33,Sr. Lucas Gabriel Azevedo,04/03/1972,862741300,92587316030,"Parque de Ramos, 92",Buraco Quente,Moraes da Praia,AC,42357-332,55021141888,5,Teclado,1,150.0,Cartão de Crédito,L03,Loja C,V04,Mariana,13/09/2025,
34,Caroline Peixoto,31/08/1974,286541737,06578132490,"Praia de da Conceição, 834",São Pedro,Freitas,RO,74688-623,05002407581,1,Notebook,5,3500.0,Cartão de Débito,L01,Loja A,V04,Mariana,13/09/2025,
35,Dra. Camila da Paz,22/02/1959,243716084,75039628102,Fazenda Benjamin Dias,Funcionários,Silva,RS,22047-277,08000104328,5,Teclado,2,150.0,Pix,L03,Loja C,V04,Mariana,13/09/2025,
36,Dra. Vitória Lima,04/08/1960,432051764,19746082558,"Aeroporto Clarice da Costa, 262",São Francisco Das Chagas,Azevedo do Galho,PI,67065405,55084531952,2,Smartphone,5,2200.0,Cartão de Débito,L03,Loja C,V03,João,13/09/2025,
37,Maitê Ramos,24/12/1963,785160243,04391625725,"Recanto de da Cunha, 4",Jardim Atlântico,Vasconcelos do Norte,RS,41566-765,55061775841,4,Monitor,3,950.0,Dinheiro,L03,Loja C,V04,Mariana,13/09/2025,
38,Emilly Nogueira,08/04/1970,182564733,27530961802,Vereda de Guerra,Marieta 2ª Seção,Alves,BA,02135-569,55051927557,1,Notebook,2,3500.0,Cartão de Débito,L01,Loja A,V03,João,13/09/2025,
39,Vinícius Fonseca,18/10/1975,430617288,81462395791,"Estrada Joaquim Carvalho, 8",Conjunto Paulo Vi,Borges de Rodrigues,MT,18844-225,3131323705,1,Notebook,5,3500.0,Boleto,L01,Loja A,V02,Fernanda,13/09/2025,
40,Maria Eduarda Martins,17/04/1997,824057132,86974013566,"Viela Pietra Ferreira, 38",Vila São Francisco,Lopes,PE,18242253,08484143842,1,Notebook,1,3500.0,Cartão de Crédito,L01,Loja A,V01,Carlos,13/09/2025,
41,Liz Pimenta,22/12/1982,824615736,90876423500,"Pátio de Pinto, 8",Fernão Dias,Ramos da Mata,PR,64710276,08173592555,1,Notebook,3,3500.0,Cartão de Crédito,L03,Loja C,V02,Fernanda,13/09/2025,
42,Caroline Teixeira,03/05/1974,812730562,32108946551,"Travessa Ana Sophia Correia, 97",Pirineus,das Neves de Monteiro,AC,68733950,55071479748,3,Tablet,4,1800.0,Cartão de Débito,L03,Loja C,V02,Fernanda,13/09/2025,
43,Catarina da Luz,04/04/1993,650381725,16784203526,"Loteamento Emanuelly Sá, 93",Nossa Senhora Da Aparecida,Aparecida,AL,57872982,06195269495,5,Teclado,5,150.0,Dinheiro,L01,Loja A,V04,Mariana,13/09/2025,
44,Sophia Nascimento,29/08/1980,476028358,64083219769,"Esplanada Sabrina Pires, 462",Andiroba,Correia,AC,56263-689,07102838578,4,Monitor,2,950.0,Cartão de Crédito,L01,Loja A,V04,Mariana,13/09/2025,
45,Luara Cavalcanti,23/01/1979,854273062,48912567373,"Morro Yan da Paz, 9",Minaslandia,Ferreira Grande,MA,41574733,6148421993,3,Tablet,4,1800.0,Dinheiro,L02,Loja B,V01,Carlos,13/09/2025,
46,Benicio Rios,03/09/2002,380672418,12049365799,"Largo Allana Ramos, 2",Vila Da Luz,Nascimento,SC,26206724,55051049915,1,Notebook,1,3500.0,Dinheiro,L03,Loja C,V03,João,13/09/2025,
47,Ísis Moura,16/11/1980,278106456,42058617371,"Rodovia Beatriz Borges, 31",Colégio Batista,Duarte de da Cruz,AC,63745-499,55021453017,1,Notebook,2,3500.0,Cartão de Débito,L01,Loja A,V04,Mariana,13/09/2025,
48,Sarah Santos,02/07/1995,142785039,27538469010,"Viela Sá, 818",São Geraldo,Barbosa Verde,AM,88398225,4171397187,2,Smartphone,4,2200.0,Cartão de Débito,L02,Loja B,V04,Mariana,13/09/2025,
49,Rafael Cardoso,25/11/1981,704328161,03198264570,Área Allana Jesus,Conjunto Serra Verde,Vargas,RS,56766-182,08412868230,2,Smartphone,1,2200.0,Dinheiro,L03,Loja C,V01,Carlos,13/09/2025,
50,Kaique Martins,24/05/1990,864317529,24350679847,"Campo Brito, 107",Glória,Guerra,PB,83028439,05199534283,1,Notebook,5,3500.0,Cartão de Crédito,L01,Loja A,V02,Fernanda,13/09/2025,
51,Letícia da Mota,06/12/1957,264308517,85631270986,"Lagoa Santos, 17",Serra Do Curral,Leão da Prata,PE,63435175,55318304699,2,Smartphone,4,2200.0,Dinheiro,L02,Loja B,V02,Fernanda,13/09/2025,
52,Gabriel Teixeira,03/11/1985,837124062,31785469010,"Lago Gabrielly Martins, 554",Mariano De Abreu,Martins de Brito,SE,53556-093,55011048996,4,Monitor,1,950.0,Cartão de Débito,L02,Loja B,V01,Carlos,13/09/2025,
53,Lucas da Conceição,30/10/1974,374526187,72516430817,"Campo Rios, 1",Nova Cintra,Pires,ES,20387509,08007700886,4,Monitor,3,950.0,Dinheiro,L02,Loja B,V04,Mariana,13/09/2025,
54,Antony Moura,22/12/1992,840731620,82314596773,"Chácara Evelyn Guerra, 49",Vila Maloca,da Rosa,RO,01666870,55021217659,5,Teclado,4,150.0,Cartão de Débito,L01,Loja A,V03,João,13/09/2025,
55,Ian Cunha,19/06/2002,740625317,03265891470,"Travessa Gomes, 356",Vila Suzana Segunda Seção,Montenegro,SC,01631-599,03006504773,2,Smartphone,1,2200.0,Boleto,L03,Loja C,V01,Carlos,13/09/2025,
56,Dr. Pedro Cirino,21/09/1990,618427508,14235968700,Aeroporto das Neves,Paraíso,Teixeira Paulista,AM,12678886,55510158199,3,Tablet,1,1800.0,Cartão de Crédito,L03,Loja C,V04,Mariana,13/09/2025,
57,Alice da Rocha,18/08/1976,134687024,49831056205,"Recanto Eduardo Fonseca, 83",Unidas,Marques,AM,40659657,07169245937,5,Teclado,5,150.0,Cartão de Débito,L01,Loja A,V01,Carlos,13/09/2025,
58,Sr. Miguel Dias,22/02/1970,732865104,93254087674,"Vila Davi Miguel Vieira, 37",Vila Califórnia,da Costa Paulista,RO,66179796,6186805891,2,Smartphone,1,2200.0,Boleto,L01,Loja A,V02,Fernanda,13/09/2025,
59,Josué Ribeiro,05/12/1989,204538178,01487563280,"Viela Melissa Cassiano, 80",Califórnia,Leão de Minas,AM,54573875,07117751401,4,Monitor,1,950.0,Boleto,L01,Loja A,V01,Carlos,13/09/2025,
60,Luigi Ramos,30/06/1960,234165789,73651984001,"Estrada de Machado, 166",Vila Minaslandia,Costela,GO,91825537,55614785969,5,Teclado,1,150.0,Dinheiro,L03,Loja C,V03,João,13/09/2025,
61,Bruna Ferreira,09/05/1973,726580430,51320867995,"Pátio João Guilherme Oliveira, 36",Santa Branca,Novais,CE,42257-905,55021723688,3,Tablet,2,1800.0,Pix,L01,Loja A,V03,João,13/09/2025,
62,Rebeca Leão,02/05/1992,781045368,04382175607,"Condomínio de Oliveira, 5",Vila São Geraldo,Nogueira do Norte,SP,83613-407,55715171339,4,Monitor,2,950.0,Pix,L02,Loja B,V03,João,13/09/2025,
63,Dra. Mariane Cavalcante,10/05/1987,386042718,98275643155,"Viela de Brito, 16",Itapoa,Sampaio,BA,25367294,8467116845,1,Notebook,1,3500.0,Dinheiro,L03,Loja C,V01,Carlos,13/09/2025,
64,Raquel Duarte,17/07/1985,175620489,36972541034,"Loteamento Calebe Aparecida, 8",Alta Tensão 1ª Seção,Castro,PB,06324-241,2141520643,1,Notebook,5,3500.0,Cartão de Débito,L03,Loja C,V03,João,13/09/2025,
65,Ayla Santos,29/09/1959,370145288,09568314784,"Chácara Gustavo Caldeira, 55",Cinquentenário,Vasconcelos Grande,RS,18909275,55112697311,2,Smartphone,3,2200.0,Cartão de Crédito,L01,Loja A,V03,João,13/09/2025,
66,Matheus Ferreira,01/10/2005,52170683X,04386512780,"Avenida de Viana, 77",Camponesa 2ª Seção,Monteiro,RS,80552696,2182710910,3,Tablet,2,1800.0,Dinheiro,L03,Loja C,V03,João,13/09/2025,
67,Henrique Aparecida,06/08/2003,645873123,18270654353,"Setor Duarte, 29",João Paulo Ii,Siqueira de Goiás,AL,16179904,55051102027,5,Teclado,5,150.0,Cartão de Crédito,L03,Loja C,V03,João,13/09/2025,
68,Joana Cavalcante,29/05/1974,416023757,41739208650,"Jardim Vargas, 2",Eymard,Aparecida,AC,07562208,8435365419,1,Notebook,2,3500.0,Pix,L01,Loja A,V01,Carlos,13/09/2025,
69,Sr. Theodoro Rocha,02/07/2002,23640751X,49508361700,"Lagoa de Sousa, 637",Tupi B,Vargas de Vasconcelos,DF,20603850,07106413836,5,Teclado,2,150.0,Pix,L02,Loja B,V02,Fernanda,13/09/2025,
70,Ana Liz Casa Grande,01/06/1992,108432671,91253048606,"Jardim Ana Vitória Gonçalves, 85",Independência,Barbosa,DF,91212775,8118537474,3,Tablet,2,1800.0,Pix,L03,Loja C,V04,Mariana,13/09/2025,
71,Caleb Castro,02/07/1997,401267532,56092817330,"Sítio Ísis da Cruz, 8",Calafate,Campos,AC,32365199,55711013721,3,Tablet,1,1800.0,Cartão de Crédito,L03,Loja C,V04,Mariana,13/09/2025,
72,Asafe Martins,20/05/1957,683074519,32489106589,"Residencial Juliana Novaes, 20",Jaqueline,Carvalho das Pedras,DF,80657875,03008564205,3,Tablet,1,1800.0,Cartão de Crédito,L02,Loja B,V02,Fernanda,13/09/2025,
73,Hellena Alves,05/03/2002,406382578,21358907668,"Estação da Costa, 155",Vila Minaslandia,Nunes Verde,BA,78427010,55319308705,3,Tablet,2,1800.0,Dinheiro,L03,Loja C,V04,Mariana,13/09/2025,
74,Davi Lucca Fernandes,11/09/1992,507148630,15640279885,"Praça de Vieira, 35",Vila Nova,Câmara Verde,TO,64422096,03000295939,5,Teclado,1,150.0,Cartão de Crédito,L01,Loja A,V02,Fernanda,13/09/2025,
75,Theo Casa Grande,01/04/1972,132680543,70416825958,"Avenida Gomes, 36",São Bento,Monteiro das Flores,MS,17932-710,02105411526,5,Teclado,1,150.0,Pix,L03,Loja C,V02,Fernanda,13/09/2025,
76,Breno Novaes,13/08/2004,154630871,96208715377,"Setor de da Luz, 44",Cachoeirinha,Gonçalves,RJ,20506-149,08131032417,4,Monitor,2,950.0,Cartão de Crédito,L02,Loja B,V03,João,13/09/2025,
77,Leandro Viana,07/10/1975,74058361X,65230791470,"Travessa Davi Cassiano, 2",Vila Fumec,Nogueira das Pedras,SP,80686879,55417416089,1,Notebook,3,3500.0,Cartão de Débito,L03,Loja C,V02,Fernanda,13/09/2025,
78,Clara Campos,03/01/2005,721654034,16385924033,Sítio Isabella Novaes,Leonina,Moreira dos Dourados,AC,16229-991,55519148564,1,Notebook,3,3500.0,Boleto,L02,Loja B,V02,Fernanda,13/09/2025,
79,Raquel Oliveira,22/12/1986,027315848,53098247150,"Lagoa Alana Mendonça, 4",Chácara Leonina,Souza dos Dourados,SP,46913-736,08485082148,2,Smartphone,2,2200.0,Cartão de Débito,L02,Loja B,V01,Carlos,13/09/2025,
80,Catarina Vasconcelos,26/10/1999,021685435,05326748983,"Feira Freitas, 89",Conjunto Santa Maria,Pastor de Novaes,MS,24140-602,05003333468,2,Smartphone,3,2200.0,Dinheiro,L03,Loja C,V02,Fernanda,13/09/2025,
81,Anthony Melo,04/01/2003,201845362,69532184791,"Aeroporto Moraes, 58",Jardim Montanhês,Mendes,AP,45444-328,55410965207,3,Tablet,2,1800.0,Cartão de Crédito,L02,Loja B,V01,Carlos,13/09/2025,
82,Otto Guerra,12/04/1975,032517646,84265913024,"Jardim Silveira, 225",Estrela Do Oriente,Câmara da Mata,PA,54947-170,08009917381,4,Monitor,2,950.0,Cartão de Débito,L02,Loja B,V03,João,13/09/2025,
83,Maria Helena Moura,06/07/1970,021673457,25960374838,"Avenida de Abreu, 44",Vila Santa Rosa,Oliveira,SP,71296666,08160083505,3,Tablet,2,1800.0,Cartão de Débito,L01,Loja A,V02,Fernanda,13/09/2025,
84,Esther Almeida,26/07/1990,38526107X,84206791350,"Conjunto de Fernandes, 45",Conjunto Jatoba,Almeida de Goiás,ES,30982150,4148909010,4,Monitor,3,950.0,Pix,L01,Loja A,V03,João,13/09/2025,
85,Danilo Leão,01/04/1978,143587201,46159273043,"Vale de Campos, 21",Santa Isabel,Pereira,DF,83564-208,1137530011,3,Tablet,5,1800.0,Dinheiro,L03,Loja C,V03,João,13/09/2025,
86,Sabrina Cassiano,07/01/2005,815602340,74830519657,"Largo de Lima, 2",Renascença,Albuquerque,BA,55794155,55061166746,1,Notebook,1,3500.0,Pix,L01,Loja A,V03,João,13/09/2025,
87,Eloah Camargo,21/09/1961,02834571X,26540138717,"Área Davi Lucas da Luz, 90",Vila São Dimas,Rios,MT,63756289,55071028772,1,Notebook,1,3500.0,Boleto,L02,Loja B,V03,João,13/09/2025,
88,Sr. Lucas da Mota,14/05/1957,368107528,17820354941,"Sítio Novaes, 2",Vila Tirol,Moraes da Prata,DF,55037-589,03007571130,3,Tablet,4,1800.0,Boleto,L03,Loja C,V01,Carlos,13/09/2025,
89,Dr. João Vitor Novaes,13/05/1982,108365748,93807156410,Área Josué Vargas,Carlos Prates,Marques de Ribeiro,RJ,70808697,3129221699,4,Monitor,5,950.0,Cartão de Débito,L02,Loja B,V01,Carlos,13/09/2025,
90,Dr. Otto Pereira,30/03/2003,348256073,68495723000,"Vale Silva, 35",Vila Nova Cachoeirinha 1ª Seção,Montenegro,PI,15879-968,01160810620,4,Monitor,1,950.0,Boleto,L03,Loja C,V02,Fernanda,13/09/2025,
91,Ana Laura Costa,06/11/1968,245810675,38029716559,"Vila de da Paz, 7",Mirtes,Viana Alegre,PI,04397359,7193347212,3,Tablet,4,1800.0,Cartão de Crédito,L03,Loja C,V03,João,13/09/2025,
92,Théo Campos,09/09/1974,647218537,05781963448,"Vale de Ribeiro, 97",Maria Virgínia,Viana,RR,83281-826,7186153355,5,Teclado,3,150.0,Cartão de Crédito,L03,Loja C,V03,João,13/09/2025,
93,Dr. Henrique Sá,20/06/1987,70852364X,05679324199,Núcleo de Moraes,Vista Do Sol,Mendonça de Aparecida,MA,58112880,55084336138,5,Teclado,3,150.0,Dinheiro,L02,Loja B,V04,Mariana,13/09/2025,
94,Dra. Daniela Alves,14/01/1979,507681344,93486571273,Viela Isaac Nascimento,Ademar Maldonado,Sá,SC,15814491,01176607283,3,Tablet,5,1800.0,Cartão de Débito,L01,Loja A,V04,Mariana,13/09/2025,
95,Matteo Vieira,18/12/1996,845127032,10846379520,"Morro de Cunha, 38",Conjunto Floramar,Câmara,RN,31290-878,55114141397,4,Monitor,2,950.0,Boleto,L03,Loja C,V03,João,13/09/2025,
96,Sr. Isaac Brito,23/10/1969,132756481,92568310405,"Via Lopes, 35",Vila Inestan,Mendes dos Dourados,PB,47812-914,55848341108,4,Monitor,5,950.0,Cartão de Crédito,L02,Loja B,V03,João,13/09/2025,
97,Maria Luiza Vargas,20/12/1985,047631521,34298501779,"Viaduto da Costa, 328",Parque São José,Cavalcanti,RJ,75037314,3130385677,2,Smartphone,4,2200.0,Boleto,L03,Loja C,V03,João,13/09/2025,
98,Asafe Rezende,16/11/1971,846521374,51438769237,"Trevo Anthony Gabriel Montenegro, 37",Fazendinha,Moraes,RS,32225-913,8451777392,4,Monitor,4,950.0,Dinheiro,L03,Loja C,V02,Fernanda,13/09/2025,
99,Maria Sophia Almeida,12/08/1967,281540731,02417398613,Praia Pereira,Pongelupe,Cavalcante de Câmara,TO,92929-842,08179913662,5,Teclado,4,150.0,Cartão de Débito,L03,Loja C,V01,Carlos,13/09/2025,
100,Antony Costa,27/05/1982,867140355,90183762487,"Núcleo Caio Sampaio, 863",Vila Suzana Segunda Seção,Ferreira Verde,SE,62473149,7164300981,3,Tablet,5,1800.0,Boleto,L02,Loja B,V01,Carlos,13/09/2025,
