"id_cliente,nome_cliente,data_nascimento,rg,cpf,endereco,bairro,cidade,estado,cep,telefone,codigo_produto,nome_produto,quantidade,valor_produto,forma_pagamento,codigo_loja,nome_loja,codigo_vendedor,nome_vendedor",cpf,telefone,data_nascimento,data_compra,erros
"12,Sofia Lima,20/09/1998,871534605,487.512.306-07,""Loteamento Antonella Nogueira, 3"",Conjunto Bonsucesso,Gomes,RR,31665876,+55 (081) 3669 0967,3,Tablet,1,1800.0,Cartão de Débito,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"13,Luiz Gustavo da Rosa,19/08/1994,637128503,659.813.720-95,""Travessa de Ribeiro, 2"",Vila Copasa,Carvalho dos Dourados,CE,46537556,+55 84 6417-0805,3,Tablet,4,1800.0,Pix,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"14,Bernardo Vasconcelos,08/06/2005,081675422,713.952.406-80,""Lagoa Caldeira, 704"",Nazare,Barbosa,RJ,14919058,(011) 5185-0671,3,Tablet,2,1800.0,Pix,L03,Loja C,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"15,Maria Cecília Porto,14/12/2001,72314865X,764.210.859-11,""Travessa Gabrielly Fernandes, 8"",Renascença,Cirino do Amparo,DF,45494-808,+55 (071) 1367-8377,5,Teclado,2,150.0,Boleto,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"16,Allana Borges,17/04/1970,632548174,685.273.914-73,""Estrada Dias, 9"",Vila Santo Antônio,Correia,DF,49894-134,+55 31 5240-8240,2,Smartphone,4,2200.0,Dinheiro,L02,Loja B,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"17,Yuri da Rocha,30/08/1991,270648136,752.093.641-43,""Travessa Pires, 3"",Confisco,Barros de Goiás,AM,99938-677,(031) 9649 9091,3,Tablet,1,1800.0,Cartão de Débito,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"18,Heitor da Luz,13/09/1989,231406575,794.012.835-32,Fazenda de da Luz,Vila Suzana Primeira Seção,Lima,AM,24210249,0300 471 7464,4,Monitor,3,950.0,Cartão de Crédito,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"19,Ágatha Monteiro,25/11/1977,065247838,304.781.926-22,""Trecho Lopes, 81"",Maravilha,Farias Alegre,RO,25674680,(051) 1545-1680,2,Smartphone,4,2200.0,Dinheiro,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"20,Ágatha Martins,07/08/1976,354870610,824.356.079-38,""Lagoa Novaes, 9"",Nossa Senhora Do Rosário,Câmara,TO,71274846,(081) 7378-2639,2,Smartphone,3,2200.0,Cartão de Débito,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"21,Catarina Azevedo,04/05/1969,658420173,972.346.815-82,""Estrada Rhavi Oliveira, 73"",Atila De Paiva,Souza do Amparo,RR,62702-895,+55 41 7187 0262,5,Teclado,4,150.0,Boleto,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"22,Ravy Viana,24/01/2006,568023146,801.752.649-02,""Vereda Santos, 8"",Conjunto Lagoa,Alves do Norte,MT,45562386,0300 222 1969,2,Smartphone,2,2200.0,Boleto,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"23,Isabella Monteiro,29/01/2003,237586101,742.039.851-88,""Quadra Ana Julia Costa, 27"",Floramar,Oliveira da Praia,RJ,40640-909,11 4395-3394,1,Notebook,1,3500.0,Cartão de Débito,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"24,Cecilia Pires,06/11/1959,046382574,145.739.806-01,""Ladeira de Cavalcante, 57"",Vila Primeiro De Maio,Camargo dos Dourados,AP,36851604,61 1754-9651,4,Monitor,5,950.0,Cartão de Crédito,L02,Loja B,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"25,Isabel Melo,10/01/1956,854103272,612.097.354-07,""Conjunto de Gomes, 95"",Nova Gameleira,Leão,RS,79640537,(031) 3515-8506,5,Teclado,4,150.0,Boleto,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"26,Gabriel Campos,29/12/2004,715840368,329.041.567-80,""Trevo Abreu, 32"",São Jorge 3ª Seção,Cavalcanti do Campo,RO,20539502,+55 71 0268-1177,1,Notebook,5,3500.0,Pix,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"27,Sr. Rael Montenegro,10/06/1966,043587124,617.530.489-66,Ladeira Pinto,Vila Califórnia,Garcia do Galho,MA,89611-836,(041) 3657-6615,1,Notebook,3,3500.0,Dinheiro,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"28,Luara Rios,17/03/1968,270654136,520.469.837-00,""Viaduto Lavínia Silveira, 5"",Urca,Fogaça do Campo,RJ,27315851,+55 84 9368-9980,1,Notebook,3,3500.0,Boleto,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"29,Juliana Alves,05/04/1964,452018638,120.754.938-04,""Esplanada Ester das Neves, 29"",São Bento,Cassiano,CE,14767976,+55 81 3815-6149,3,Tablet,5,1800.0,Boleto,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"30,Valentina Rios,17/01/1971,364051875,248.905.361-24,""Parque Nascimento, 98"",Vila De Sá,Barbosa das Flores,SC,60715969,71 6416 0529,3,Tablet,2,1800.0,Boleto,L03,Loja C,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"31,Maria Cecília Borges,04/11/1977,13746082X,539.610.428-70,""Morro Juan da Costa, 3"",Grotinha,Cavalcanti,RN,12779979,0900-552-7177,5,Teclado,3,150.0,Dinheiro,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"32,Liz Vieira,04/04/1969,054823171,054.986.317-66,""Via de Correia, 89"",Santa Maria,Araújo,PB,51820377,51 8925 5466,3,Tablet,3,1800.0,Cartão de Débito,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"33,Sr. Lucas Gabriel Azevedo,04/03/1972,862741300,925.873.160-30,""Parque de Ramos, 92"",Buraco Quente,Moraes da Praia,AC,42357-332,+55 (021) 1418-8805,5,Teclado,1,150.0,Cartão de Crédito,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"34,Caroline Peixoto,31/08/1974,286541737,065.781.324-90,""Praia de da Conceição, 834"",São Pedro,Freitas,RO,74688-623,0500-240-7581,1,Notebook,5,3500.0,Cartão de Débito,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"35,Dra. Camila da Paz,22/02/1959,243716084,750.396.281-02,Fazenda Benjamin Dias,Funcionários,Silva,RS,22047-277,0800-010-4328,5,Teclado,2,150.0,Pix,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"36,Dra. Vitória Lima,04/08/1960,432051764,197.460.825-58,""Aeroporto Clarice da Costa, 262"",São Francisco Das Chagas,Azevedo do Galho,PI,67065405,+55 (084) 5319 5205,2,Smartphone,5,2200.0,Cartão de Débito,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"37,Maitê Ramos,24/12/1963,785160243,043.916.257-25,""Recanto de da Cunha, 4"",Jardim Atlântico,Vasconcelos do Norte,RS,41566-765,+55 (061) 7758-4161,4,Monitor,3,950.0,Dinheiro,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"38,Emilly Nogueira,08/04/1970,182564733,275.309.618-02,Vereda de Guerra,Marieta 2ª Seção,Alves,BA,02135-569,+55 (051) 9275 5719,1,Notebook,2,3500.0,Cartão de Débito,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"39,Vinícius Fonseca,18/10/1975,430617288,814.623.957-91,""Estrada Joaquim Carvalho, 8"",Conjunto Paulo Vi,Borges de Rodrigues,MT,18844-225,31 3132-3705,1,Notebook,5,3500.0,Boleto,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"40,Maria Eduarda Martins,17/04/1997,824057132,869.740.135-66,""Viela Pietra Ferreira, 38"",Vila São Francisco,Lopes,PE,18242253,(084) 8414 3842,1,Notebook,1,3500.0,Cartão de Crédito,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"41,Liz Pimenta,22/12/1982,824615736,908.764.235-00,""Pátio de Pinto, 8"",Fernão Dias,Ramos da Mata,PR,64710276,(081) 7359-2555,1,Notebook,3,3500.0,Cartão de Crédito,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"42,Caroline Teixeira,03/05/1974,812730562,321.089.465-51,""Travessa Ana Sophia Correia, 97"",Pirineus,das Neves de Monteiro,AC,68733950,+55 (071) 4797 4801,3,Tablet,4,1800.0,Cartão de Débito,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"43,Catarina da Luz,04/04/1993,650381725,167.842.035-26,""Loteamento Emanuelly Sá, 93"",Nossa Senhora Da Aparecida,Aparecida,AL,57872982,(061) 9526 9495,5,Teclado,5,150.0,Dinheiro,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"44,Sophia Nascimento,29/08/1980,476028358,640.832.197-69,""Esplanada Sabrina Pires, 462"",Andiroba,Correia,AC,56263-689,(071) 0283-8578,4,Monitor,2,950.0,Cartão de Crédito,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"45,Luara Cavalcanti,23/01/1979,854273062,489.125.673-73,""Morro Yan da Paz, 9"",Minaslandia,Ferreira Grande,MA,41574733,61 4842-1993,3,Tablet,4,1800.0,Dinheiro,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"46,Benicio Rios,03/09/2002,380672418,120.493.657-99,""Largo Allana Ramos, 2"",Vila Da Luz,Nascimento,SC,26206724,+55 (051) 0499 1547,1,Notebook,1,3500.0,Dinheiro,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"47,Ísis Moura,16/11/1980,278106456,420.586.173-71,""Rodovia Beatriz Borges, 31"",Colégio Batista,Duarte de da Cruz,AC,63745-499,+55 (021) 4530 1742,1,Notebook,2,3500.0,Cartão de Débito,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"48,Sarah Santos,02/07/1995,142785039,275.384.690-10,""Viela Sá, 818"",São Geraldo,Barbosa Verde,AM,88398225,41 7139-7187,2,Smartphone,4,2200.0,Cartão de Débito,L02,Loja B,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"49,Rafael Cardoso,25/11/1981,704328161,031.982.645-70,Área Allana Jesus,Conjunto Serra Verde,Vargas,RS,56766-182,(084) 1286 8230,2,Smartphone,1,2200.0,Dinheiro,L03,Loja C,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"50,Kaique Martins,24/05/1990,864317529,243.506.798-47,""Campo Brito, 107"",Glória,Guerra,PB,83028439,(051) 9953 4283,1,Notebook,5,3500.0,Cartão de Crédito,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"51,Letícia da Mota,06/12/1957,264308517,856.312.709-86,""Lagoa Santos, 17"",Serra Do Curral,Leão da Prata,PE,63435175,+55 31 8304 6990,2,Smartphone,4,2200.0,Dinheiro,L02,Loja B,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"52,Gabriel Teixeira,03/11/1985,837124062,317.854.690-10,""Lago Gabrielly Martins, 554"",Mariano De Abreu,Martins de Brito,SE,53556-093,+55 (011) 0489-9642,4,Monitor,1,950.0,Cartão de Débito,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"53,Lucas da Conceição,30/10/1974,374526187,725.164.308-17,""Campo Rios, 1"",Nova Cintra,Pires,ES,20387509,0800-770-0886,4,Monitor,3,950.0,Dinheiro,L02,Loja B,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"54,Antony Moura,22/12/1992,840731620,823.145.967-73,""Chácara Evelyn Guerra, 49"",Vila Maloca,da Rosa,RO,01666870,+55 (021) 2176 5918,5,Teclado,4,150.0,Cartão de Débito,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"55,Ian Cunha,19/06/2002,740625317,032.658.914-70,""Travessa Gomes, 356"",Vila Suzana Segunda Seção,Montenegro,SC,01631-599,0300-650-4773,2,Smartphone,1,2200.0,Boleto,L03,Loja C,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"56,Dr. Pedro Cirino,21/09/1990,618427508,142.359.687-00,Aeroporto das Neves,Paraíso,Teixeira Paulista,AM,12678886,+55 51 0158 1995,3,Tablet,1,1800.0,Cartão de Crédito,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"57,Alice da Rocha,18/08/1976,134687024,498.310.562-05,""Recanto Eduardo Fonseca, 83"",Unidas,Marques,AM,40659657,(071) 6924 5937,5,Teclado,5,150.0,Cartão de Débito,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"58,Sr. Miguel Dias,22/02/1970,732865104,932.540.876-74,""Vila Davi Miguel Vieira, 37"",Vila Califórnia,da Costa Paulista,RO,66179796,61 8680-5891,2,Smartphone,1,2200.0,Boleto,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"59,Josué Ribeiro,05/12/1989,204538178,014.875.632-80,""Viela Melissa Cassiano, 80"",Califórnia,Leão de Minas,AM,54573875,(071) 1775-1401,4,Monitor,1,950.0,Boleto,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"60,Luigi Ramos,30/06/1960,234165789,736.519.840-01,""Estrada de Machado, 166"",Vila Minaslandia,Costela,GO,91825537,+55 61 4785 9696,5,Teclado,1,150.0,Dinheiro,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"61,Bruna Ferreira,09/05/1973,726580430,513.208.679-95,""Pátio João Guilherme Oliveira, 36"",Santa Branca,Novais,CE,42257-905,+55 (021) 7236 8876,3,Tablet,2,1800.0,Pix,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"62,Rebeca Leão,02/05/1992,781045368,043.821.756-07,""Condomínio de Oliveira, 5"",Vila São Geraldo,Nogueira do Norte,SP,83613-407,+55 71 5171-3395,4,Monitor,2,950.0,Pix,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"63,Dra. Mariane Cavalcante,10/05/1987,386042718,982.756.431-55,""Viela de Brito, 16"",Itapoa,Sampaio,BA,25367294,84 6711 6845,1,Notebook,1,3500.0,Dinheiro,L03,Loja C,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"64,Raquel Duarte,17/07/1985,175620489,369.725.410-34,""Loteamento Calebe Aparecida, 8"",Alta Tensão 1ª Seção,Castro,PB,06324-241,21 4152 0643,1,Notebook,5,3500.0,Cartão de Débito,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"65,Ayla Santos,29/09/1959,370145288,095.683.147-84,""Chácara Gustavo Caldeira, 55"",Cinquentenário,Vasconcelos Grande,RS,18909275,+55 11 2697-3112,2,Smartphone,3,2200.0,Cartão de Crédito,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"66,Matheus Ferreira,01/10/2005,52170683X,043.865.127-80,""Avenida de Viana, 77"",Camponesa 2ª Seção,Monteiro,RS,80552696,21 8271 0910,3,Tablet,2,1800.0,Dinheiro,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"67,Henrique Aparecida,06/08/2003,645873123,182.706.543-53,""Setor Duarte, 29"",João Paulo Ii,Siqueira de Goiás,AL,16179904,+55 (051) 1020-2758,5,Teclado,5,150.0,Cartão de Crédito,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"68,Joana Cavalcante,29/05/1974,416023757,417.392.086-50,""Jardim Vargas, 2"",Eymard,Aparecida,AC,07562208,84 3536 5419,1,Notebook,2,3500.0,Pix,L01,Loja A,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"69,Sr. Theodoro Rocha,02/07/2002,23640751X,495.083.617-00,""Lagoa de Sousa, 637"",Tupi B,Vargas de Vasconcelos,DF,20603850,(071) 0641 3836,5,Teclado,2,150.0,Pix,L02,Loja B,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"70,Ana Liz Casa Grande,01/06/1992,108432671,912.530.486-06,""Jardim Ana Vitória Gonçalves, 85"",Independência,Barbosa,DF,91212775,81 1853 7474,3,Tablet,2,1800.0,Pix,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"71,Caleb Castro,02/07/1997,401267532,560.928.173-30,""Sítio Ísis da Cruz, 8"",Calafate,Campos,AC,32365199,+55 71 1013-7215,3,Tablet,1,1800.0,Cartão de Crédito,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"72,Asafe Martins,20/05/1957,683074519,324.891.065-89,""Residencial Juliana Novaes, 20"",Jaqueline,Carvalho das Pedras,DF,80657875,0300 856 4205,3,Tablet,1,1800.0,Cartão de Crédito,L02,Loja B,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"73,Hellena Alves,05/03/2002,406382578,213.589.076-68,""Estação da Costa, 155"",Vila Minaslandia,Nunes Verde,BA,78427010,+55 31 9308-7059,3,Tablet,2,1800.0,Dinheiro,L03,Loja C,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"74,Davi Lucca Fernandes,11/09/1992,507148630,156.402.798-85,""Praça de Vieira, 35"",Vila Nova,Câmara Verde,TO,64422096,0300 029 5939,5,Teclado,1,150.0,Cartão de Crédito,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"75,Theo Casa Grande,01/04/1972,132680543,704.168.259-58,""Avenida Gomes, 36"",São Bento,Monteiro das Flores,MS,17932-710,(021) 0541 1526,5,Teclado,1,150.0,Pix,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"76,Breno Novaes,13/08/2004,154630871,962.087.153-77,""Setor de da Luz, 44"",Cachoeirinha,Gonçalves,RJ,20506-149,(081) 3103-2417,4,Monitor,2,950.0,Cartão de Crédito,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"77,Leandro Viana,07/10/1975,74058361X,652.307.914-70,""Travessa Davi Cassiano, 2"",Vila Fumec,Nogueira das Pedras,SP,80686879,+55 41 7416-0898,1,Notebook,3,3500.0,Cartão de Débito,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"78,Clara Campos,03/01/2005,721654034,163.859.240-33,Sítio Isabella Novaes,Leonina,Moreira dos Dourados,AC,16229-991,+55 51 9148 5646,1,Notebook,3,3500.0,Boleto,L02,Loja B,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"79,Raquel Oliveira,22/12/1986,027315848,530.982.471-50,""Lagoa Alana Mendonça, 4"",Chácara Leonina,Souza dos Dourados,SP,46913-736,(084) 8508-2148,2,Smartphone,2,2200.0,Cartão de Débito,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"80,Catarina Vasconcelos,26/10/1999,021685435,053.267.489-83,""Feira Freitas, 89"",Conjunto Santa Maria,Pastor de Novaes,MS,24140-602,0500 333 3468,2,Smartphone,3,2200.0,Dinheiro,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"81,Anthony Melo,04/01/2003,201845362,695.321.847-91,""Aeroporto Moraes, 58"",Jardim Montanhês,Mendes,AP,45444-328,+55 41 0965-2074,3,Tablet,2,1800.0,Cartão de Crédito,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"82,Otto Guerra,12/04/1975,032517646,842.659.130-24,""Jardim Silveira, 225"",Estrela Do Oriente,Câmara da Mata,PA,54947-170,0800 991 7381,4,Monitor,2,950.0,Cartão de Débito,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"83,Maria Helena Moura,06/07/1970,021673457,259.603.748-38,""Avenida de Abreu, 44"",Vila Santa Rosa,Oliveira,SP,71296666,(081) 6008-3505,3,Tablet,2,1800.0,Cartão de Débito,L01,Loja A,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"84,Esther Almeida,26/07/1990,38526107X,842.067.913-50,""Conjunto de Fernandes, 45"",Conjunto Jatoba,Almeida de Goiás,ES,30982150,41 4890 9010,4,Monitor,3,950.0,Pix,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"85,Danilo Leão,01/04/1978,143587201,461.592.730-43,""Vale de Campos, 21"",Santa Isabel,Pereira,DF,83564-208,11 3753-0011,3,Tablet,5,1800.0,Dinheiro,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"86,Sabrina Cassiano,07/01/2005,815602340,748.305.196-57,""Largo de Lima, 2"",Renascença,Albuquerque,BA,55794155,+55 (061) 1667-4676,1,Notebook,1,3500.0,Pix,L01,Loja A,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"87,Eloah Camargo,21/09/1961,02834571X,265.401.387-17,""Área Davi Lucas da Luz, 90"",Vila São Dimas,Rios,MT,63756289,+55 (071) 0287 7217,1,Notebook,1,3500.0,Boleto,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"88,Sr. Lucas da Mota,14/05/1957,368107528,178.203.549-41,""Sítio Novaes, 2"",Vila Tirol,Moraes da Prata,DF,55037-589,0300-757-1130,3,Tablet,4,1800.0,Boleto,L03,Loja C,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"89,Dr. João Vitor Novaes,13/05/1982,108365748,938.071.564-10,Área Josué Vargas,Carlos Prates,Marques de Ribeiro,RJ,70808697,31 2922-1699,4,Monitor,5,950.0,Cartão de Débito,L02,Loja B,V01,Carlos",00000000000,0000000000,01/01/2000,13/09/2025,
"90,Dr. Otto Pereira,30/03/2003,348256073,684.957.230-00,""Vale Silva, 35"",Vila Nova Cachoeirinha 1ª Seção,Montenegro,PI,15879-968,(011) 6081 0620,4,Monitor,1,950.0,Boleto,L03,Loja C,V02,Fernanda",00000000000,0000000000,01/01/2000,13/09/2025,
"91,Ana Laura Costa,06/11/1968,245810675,380.297.165-59,""Vila de da Paz, 7"",Mirtes,Viana Alegre,PI,04397359,71 9334-7212,3,Tablet,4,1800.0,Cartão de Crédito,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"92,Théo Campos,09/09/1974,647218537,057.819.634-48,""Vale de Ribeiro, 97"",Maria Virgínia,Viana,RR,83281-826,71 8615-3355,5,Teclado,3,150.0,Cartão de Crédito,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"93,Dr. Henrique Sá,20/06/1987,70852364X,056.793.241-99,Núcleo de Moraes,Vista Do Sol,Mendonça de Aparecida,MA,58112880,+55 (084) 3361 3861,5,Teclado,3,150.0,Dinheiro,L02,Loja B,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"94,Dra. Daniela Alves,14/01/1979,507681344,934.865.712-73,Viela Isaac Nascimento,Ademar Maldonado,Sá,SC,15814491,(011) 7660 7283,3,Tablet,5,1800.0,Cartão de Débito,L01,Loja A,V04,Mariana",00000000000,0000000000,01/01/2000,13/09/2025,
"95,Matteo Vieira,18/12/1996,845127032,108.463.795-20,""Morro de Cunha, 38"",Conjunto Floramar,Câmara,RN,31290-878,+55 11 4141 3975,4,Monitor,2,950.0,Boleto,L03,Loja C,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
"96,Sr. Isaac Brito,23/10/1969,132756481,925.683.104-05,""Via Lopes, 35"",Vila Inestan,Mendes dos Dourados,PB,47812-914,+55 84 8341 1080,4,Monitor,5,950.0,Cartão de Crédito,L02,Loja B,V03,João",00000000000,0000000000,01/01/2000,13/09/2025,
